date,time,code,name,summary,market
2026-09-01,09:00,1590,亞德客-KY,本公司受邀參加香港上海匯豐證券舉辦之法人說明會「13th Annual China Conference」，說明本公司2026年第2季營運狀況。,上市
2026-09-01,09:00,2356,英業達,本公司受邀參加Goldman Sachs Asia Leaders Conference 2026，說明本公司營運概況,上市
2026-09-01,09:30,910861,神州-DR,神州控股2026年半年度業績發布會。,上市
2026-09-01,09:30,4772,台特化,本公司受邀參加2026櫃買中心暨永豐金證券半導體展高峰論壇,上櫃
2026-09-01,09:30,6510,精測,本公司受邀參加櫃買中心與永豐金證券舉辦之「2026年半導體展高峰論壇」，會中就本公司7/29法說會已公開之財務數字、經營績效等相關資訊進行說明。,上櫃
2026-09-01,09:30,6570,維田,應櫃買中心邀請，參加「2026櫃買中心暨永豐金證券半導體展高峰論壇」，說明本公司營運概況及展望。,上櫃
2026-09-01,10:40,6223,旺矽,本公司受邀參加櫃買中心暨永豐金證券合作舉辦之「2026年半導體展高峰論壇」，說明本公司簡介與營運概況。,上櫃
2026-09-01,10:40,6664,群翊,本公司受邀參加櫃買中心與永豐金證券合作舉辦之「2026年半導體展高峰論壇」，說明公司產業概況及經營績效。,上櫃
2026-09-01,11:00,2882,國泰金,本公司受邀參加Goldman Sachs舉辦之投資人會議，說明公司營運概況。,上市
2026-09-01,13:30,6658,聯策,受邀參加櫃買中心及永豐金證券舉辦之2026年半導體展高峰論壇，說明本公司營運及業務狀況。,上市
2026-09-01,13:30,7721,微程式,本公司受邀參加櫃買中心暨永豐金證券合作舉辦之「2026年半導體展高峰論壇」，說明本公司簡介與營運概況。,上市
2026-09-01,13:30,7768,頌勝科技,受邀參加櫃買中心及永豐金證券舉辦之2026年半導體展高峰論壇，說明本公司營運及財務概況。,上市
2026-09-01,13:30,3580,友威科,本公司受邀參加櫃買中心與永豐金證券共同舉辦之2026年半導體展高峰論壇，說明本公司之營運概況。,上櫃
2026-09-01,13:30,3680,家登,本公司受邀參加櫃買中心與永豐金證券共同舉辦之TPEx & SinoPac Pre-Semicon Taiwan Summit Forum，說明本公司之營運概況。,上櫃
2026-09-01,13:30,4542,科嶠,本公司受邀參加櫃買中心暨永豐金證券合作舉辦之「2026年半導體展高峰論壇」，說明本公司簡介與營運概況。,上櫃
2026-09-01,13:30,5291,邑昇,本公司受邀參加櫃買中心與永豐金證券共同舉辦之TPEx & SinoPac Pre-Semicon Taiwan Summit Forum，說明本公司之營運概況。,上櫃
2026-09-01,13:30,6823,濾能,本公司受邀參加櫃買中心暨永豐金證券合作舉辦之「2026年半導體展高峰論壇」，說明本公司簡介與營運概況。,上櫃
2026-09-01,13:30,7556,意德士科技,本公司受邀參加櫃買中心暨永豐金證券合作舉辦之「2026年半導體展高峰論壇」，說明本公司簡介與營運概況。,上櫃
2026-09-01,14:00,1454,台富,營運概況說明,上市
2026-09-01,14:00,1795,美時,本公司受邀參加元大證券舉辦之中文法人說明會，將就本公司財務及營運狀況向投資法人說明。,上市
2026-09-01,14:00,2024,志聯,本公司受邀參加群益金鼎證券所舉辦之法人說明會，說明本公司115年第二季營運狀況。,上市
2026-09-01,14:00,2887,台新新光金,公告本公司將於115年09月01日召開115年第二季法人說明會,上市
2026-09-01,14:00,6197,佳必琪,本公司受邀參加凱基證券舉辦之「線上法人說明會」， 向投資人說明本公司2026年第三季營運概況。,上市
2026-09-01,14:00,6584,南俊國際,公告本公司受邀參加由高盛舉辦之2026年亞洲領袖高峰會，說明本公司財務及業務相關資訊。,上櫃
2026-09-01,14:00,6735,美達科技,本公司受邀參加富邦綜合證券舉辦之線上法人說明會，說明本公司營運概況,上櫃
2026-09-01,14:30,1735,日勝化,本公司受邀參加凱基證券所舉辦之線上法人說明會,上市
2026-09-01,14:30,3356,奇偶,受邀參加統一證券舉辦之法人說明會,上市
2026-09-01,14:30,5471,松翰,本公司受邀參加華南永昌證券舉辦之法人說明會，報告本公司營運狀況。,上市
2026-09-01,14:30,6190,萬泰科,公司營運成果及未來展望,上櫃
2026-09-01,14:30,6248,沛波,本公司受邀參加康和證券舉辦之線上法說會，說明本公司營運成果及未來展望。,上櫃
2026-09-01,15:00,4905,台聯電,說明本公司之營運概況及財務業務等相關資訊。,上櫃
2026-09-02,10:00,6285,啟碁,本公司受高盛證券邀請參加「Goldman Sachs Asia Leaders Conference 2026」，主要內容為公司營運概況,上市
2026-09-02,14:00,2511,太子,受邀參加兆豐證券舉辦之法人說明會，說明本公司財務及營運展望。,上市
2026-09-02,14:00,2834,臺企銀,公告本公司召開2026年第二季中文法人說明會， 公佈2026年第二季營運概況。,上市
2026-09-02,14:00,8114,振樺電,本公司受邀參加凱基證券舉辦之線上法說會議，向投資人說明本公司115年第二季營運成果。,上市
2026-09-02,14:00,5604,中連,115Q2營業狀況說明,上櫃
2026-09-02,14:00,6690,安碁資訊,本公司受邀參加櫃檯買賣中心舉辦之「櫃買市場業績發表會」。,上櫃
2026-09-02,14:30,2849,安泰銀,公布115年上半年度營運概況,上市
2026-09-02,14:30,5228,鈺鎧,本公司受邀參加永豐金證券舉辦之法人座談會，說明公司營運現況及未來展望,上櫃
2026-09-02,14:30,6982,大井泵浦,本公司受邀參加元大證券舉辦之法人說明會，說明本公司營運概況及未來展望。,上櫃
2026-09-02,14:50,5493,三聯,115年第3次(115Q2財報)業績發表會,上櫃
2026-09-02,15:00,6838,台新藥,本公司受邀參加凱基證券舉辦之法人說明會，說明本公司營運狀況,上市
2026-09-02,15:40,6752,叡揚,本公司受邀參加櫃檯買賣中心舉辦之「櫃買市場業績發表會」,上櫃
2026-09-02,16:30,7714,創泓科技,本次法人說明會將由公司經營團隊說明產業概況、財務業務狀況及未來發展等公司營運經營實績。,上櫃
2026-09-03,09:00,3037,欣興,本公司受邀參加Citi舉辦之Citi 2026 Semicon Tour ，會中就本公司已公開發布之 財務數字、經營績效等相關資訊作說明。,上市
2026-09-03,10:00,3167,大量,本公司受邀參加Citi 2026 Semicon Tour，說明營運概況。,上市
2026-09-03,10:00,4904,遠傳,說明本公司115年度第二季營運與財務概況,上市
2026-09-03,10:40,6854,錼創科技-KY創,受邀參加證交所與富邦證券合辦之115年「SEMICON Taiwan」法人說明會,上市
2026-09-03,11:20,4770,上品,本公司受邀參加富邦證券與台灣證交所舉辦之SEMICON Taiwan Corporate Day，說明本公司財務及業務相關資訊。,上市
2026-09-03,12:00,3017,奇鋐,受邀參加Citi Semicon Tour法人說明會，說明115年第二季營運結果與未來展望。,上市
2026-09-03,13:00,3583,辛耘,本公司受邀參加由台灣證券交易所與富邦證券所合辦的「SEMICON Taiwan」主題式業績發表會，說明2026/H1財務報告資訊,上市
2026-09-03,13:00,6805,富世達,"本公司於115/09/03受邀參加由Citi舉辦之 ""Citi 2026 Semicon Tour""，說明本公司之營運概況",上市
2026-09-03,13:40,7610,聯友金屬-創,本公司受邀參加證交所及富邦證券舉辦之法人說明會，說明本公司財務、業務、營運概況及未來展望。,上市
2026-09-03,14:00,2949,欣新網,本公司受邀參加康和證券舉辦之法人說明會，說明本公司營運成果及未來展望等。,上櫃
2026-09-03,14:00,3081,聯亞,本公司受邀參加Citi 2026 Semicon Tour，說明本公司之營運概況。,上櫃
2026-09-03,14:30,1456,怡華,簡報說明公司營運情形 5.,上市
2026-09-03,14:30,1468,昶和,本公司自辦法人說明會,上市
2026-09-03,14:30,4571,鈞興-KY,本公司受邀參加永豐金證券舉辦之法人座談會，說明公司營運回顧及業務展望,上市
2026-09-03,15:00,3045,台灣大,本公司受邀參加高盛證券所舉辦之「2026 Asia Leaders Conference」，會中說明115年第二季法說會簡報與其他已公開發佈之財務數字、經營績效等相關資訊。,上市
2026-09-03,15:00,7823,奧義賽博-KY創,本公司受邀參加證交所與富邦證券合辦之SEMICON Taiwan法人說明會，說明本公司營運成果以及未來展望。,上市
2026-09-03,15:40,7730,暉盛-創,本公司受邀參加 2026 TWSE&Fubon SEMICON Taiwan Corporate Day。,上市
2026-09-03,16:30,3363,上詮,本公司受邀參加高盛舉辦之投資人會議，會中說明本公司營運概況及經營績效。,上櫃
2026-09-04,09:00,2383,台光電,本公司受邀參加花旗證券舉辦之法人說明會，說明本公司之營運概況。,上市
2026-09-04,09:30,3167,大量,本公司受邀參加中國信託證券2026年第三季前瞻論壇，說明營運概況。,上市
2026-09-04,09:30,3443,創意,本公司受邀參加中國信託證券投資論壇，說明本公司營運概況。,上市
2026-09-04,09:30,6742,澤米,本公司受邀參與中國信託證券2026第三季前瞻論壇,上市
2026-09-04,10:00,3010,華立,本公司受邀參加統一證券所舉辦之「2026年Q3秋季投資論壇」 ，就公司已公開之財務業務資訊做說明。,上市
2026-09-04,10:00,3037,欣興,本公司受邀參加統一證券舉辦之2026 Q3投資論壇 ，會中就本公司已公開發布之 財務數字、經營績效等相關資訊作說明。,上市
