體檢時間,領域,狀態,最新,說明
2026-09-21 19:13,大盤指數,✅,2026-09-21,最後交易日 2026-09-21
2026-09-21 19:13,個股價格,✅,2026-09-21,1969檔;schema異常 0
2026-09-21 19:13,融資融券,⚠️,2026-09-18,日覆蓋中位 1868 檔
2026-09-21 19:13,法人買賣超,🔴,2026-09-21,日覆蓋中位 1860 檔;缺口日:2026-09-21
2026-09-21 19:13,集保大戶(週),✅,2026-09-11,距今 10 天
2026-09-21 19:13,bulk月營收,✅,2026-all.c,233檔快取;最新需求月 115-8 已入庫
2026-09-21 19:13,權證資金流,✅,2026-09-21,379 交易日快取
2026-09-21 19:13,大盤融資快取,✅,2026-09-18,886 列
2026-09-21 19:13,營收史快取,✅,2026-08,"166,983 列"
2026-09-21 19:13,我的ETF,✅,-,JSON 可解析
2026-09-21 19:13,決策日誌,✅,-,20 列
2026-09-21 19:13,預實追蹤,✅,-,JSON 可解析
2026-09-21 19:13,法說筆記,✅,-,JSON 可解析
2026-09-21 19:13,晨報,✅,2026-09-21,今日已產生
2026-09-21 19:13,ETF日檢,✅,2026-09-21,今日已產生
