掃描日,代號,名稱,收盤,狀態,A位階,B1大戶,B2量縮不跌,④突破,距60日高%,量比,催化:最新YoY%,大戶4週Δpp,反證:倒貨率%
2026-09-17,2412,中華電,145.0,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,0.0,1.43,25.6,0.19,14.0
2026-09-17,2880,華南金,47.9,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,0.0,0.81,6.5,0.29,19.0
2026-09-17,6214,精誠,193.0,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,0.0,0.77,61.9,4.0,3.0
2026-09-17,6491,晶碩,401.0,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,0.0,1.43,18.9,1.68,
2026-09-17,3045,台灣大,124.0,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-0.4,0.76,8.5,0.52,14.0
2026-09-17,3024,憶聲,14.8,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-1.0,0.76,-44.1,0.81,32.0
2026-09-17,2867,三商壽,9.7,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-1.2,0.0,-117.0,0.79,19.0
2026-09-17,5324,士開,12.2,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-1.2,0.83,-3.3,0.6,17.0
2026-09-17,2836,高雄銀,12.5,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-1.6,2.64,-1.5,0.05,10.0
2026-09-17,4904,遠傳,106.5,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-1.8,1.4,15.7,0.04,12.0
2026-09-17,2103,台橡,28.2,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-2.1,1.48,21.8,0.15,19.0
2026-09-17,2474,可成,208.5,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-2.3,0.99,-40.5,1.95,11.0
2026-09-17,2537,聯上發,11.4,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-2.6,0.86,-14.9,1.0,19.0
2026-09-17,3034,聯詠,545.0,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-2.9,0.7,26.3,0.64,12.0
2026-09-17,2330,台積電,2425.0,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-3.2,1.02,53.3,0.1,24.0
2026-09-17,2885,元大金,69.0,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-3.5,1.09,79.0,0.28,23.0
2026-09-17,2353,宏碁,32.4,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-4.1,1.25,38.4,0.31,30.0
2026-09-17,6026,福邦證,15.5,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-4.3,1.74,231.8,0.79,37.0
2026-09-17,1301,台塑,64.6,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-4.7,0.73,6.8,1.38,31.0
2026-09-17,2031,新光鋼,44.3,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-4.8,0.68,18.6,0.44,10.0
2026-09-17,4938,和碩,90.4,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-5.2,0.87,34.1,0.08,13.0
2026-09-17,1608,華榮,36.1,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-5.5,0.39,17.9,0.95,26.0
2026-09-17,2618,長榮航,42.0,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-5.5,0.85,24.9,0.58,21.0
2026-09-17,1907,永豐餘,29.5,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-5.6,0.48,6.0,0.11,3.0
2026-09-17,2032,新鋼,16.9,⏳ 蓄勢(量縮不跌),✓,✓,✓,—,-5.6,0.87,-5.3,0.03,14.0
