代碼,名稱,產業,上月實際(百萬),預測(百萬),預測YoY%,近3月YoY中位,加速度pp,兩法一致,大戶週Δpp,法人5日(張)
1808,潤隆,建材營造業,3067.3,14992.4,48361.2,87447.7,19187.8,❌,0.22,-1888
4416,三圓,建材營造業,1444.3,722.1,7718.7,-8.5,-801.4,❌,-0.1,241
2548,華固,建材營造業,224.6,38834.4,4567.5,9203.5,-25406.0,❌,0.1,-2533
3535,晶彩科,光電業,73.0,59.4,1215.2,160.8,-4680.9,❌,-0.79,327
2542,興富發,建材營造業,5160.1,19912.1,1128.3,2114.2,576.5,❌,0.31,2369
8926,台汽電,油電燃氣業,6722.2,4627.6,1073.6,768.2,174.1,❌,0.35,161
6265,方土昶,電子通路業,617.1,832.1,969.7,1076.3,640.6,❌,-0.81,-3055
7777,能率亞洲,其他業,30.2,-150.3,701.4,701.4,759.2,—,-0.15,315
5289,宜鼎,電腦及週邊設備業,8208.0,8603.0,645.9,640.8,237.6,✅,-0.45,-1531
2408,南亞科,半導體業,29388.3,36442.4,580.9,717.3,130.6,❌,0.52,1343
5351,鈺創,半導體業,1902.5,2039.6,563.0,605.5,294.5,❌,-2.17,-9764
6199,天品,其他業,76.4,111.2,497.0,516.9,-70.6,✅,-0.87,156
6026,福邦證,金融保險業,242.7,453.9,461.7,461.7,350.9,—,0.34,1870
5522,遠雄,建材營造業,1992.2,6814.4,454.7,743.3,-476.7,❌,-0.03,-1113
5386,青雲,電腦及週邊設備業,1567.3,1270.8,420.6,412.8,-134.0,✅,-0.08,199
2539,櫻花建,建材營造業,1055.8,3239.6,418.9,418.9,452.5,—,-0.04,-652
6901,鑽石投資,其他業,2206.6,-474.8,407.5,407.5,320.6,—,0.01,-1185
2451,創見,半導體業,5068.2,6440.0,405.3,469.8,89.3,❌,0.66,-2314
5864,致和證,金融保險業,266.3,740.2,350.2,350.2,-1325.0,—,0.02,1234
4513,福裕,電機機械,713.6,384.3,340.8,33.5,8.0,❌,0.24,-123
3006,晶豪科,半導體業,4845.5,4987.3,334.5,328.4,198.9,✅,1.18,-4660
8299,群聯,半導體業,24852.8,23966.9,321.4,301.0,111.8,✅,0.88,153
6015,宏遠證,金融保險業,562.0,514.2,297.8,342.9,60.9,❌,-0.26,1545
2851,中再保,金融保險業,1582.7,7198.9,293.7,605.1,502.0,❌,-0.19,3398
8096,擎亞,電子通路業,8978.3,6547.6,292.4,154.5,196.4,❌,-0.48,-1585
2855,統一證,金融保險業,3222.7,5498.0,289.3,428.4,207.1,❌,0.14,4920
6177,達麗,建材營造業,2503.6,704.9,264.8,264.8,-290.1,—,0.75,129
3147,大綜,資訊服務業,1754.6,2592.8,260.1,334.5,374.4,❌,-0.44,158
4772,台特化,化學工業,300.6,308.6,251.5,241.2,-48.5,✅,0.15,68
2101,南港,橡膠工業,3414.0,2907.5,243.5,158.7,158.0,❌,0.22,-2766
8112,至上,電子通路業,61628.6,57631.0,225.0,231.2,94.3,✅,-0.07,-11457
3260,威剛,半導體業,14661.3,13847.7,225.0,210.4,29.0,✅,4.02,-5195
2891,中信金,金融保險業,19828.1,33999.6,222.4,341.3,309.8,❌,-0.01,11919
6533,晶心科,半導體業,372.2,314.6,219.7,22.9,10.6,❌,0.05,-132
2465,麗臺,電腦及週邊設備業,938.0,898.0,219.5,175.8,92.6,❌,1.32,920
2885,元大金,金融保險業,19576.4,33948.0,213.8,324.9,254.7,❌,-0.07,15519
3498,陽程,其他電子業,321.5,163.7,209.7,67.1,-48.8,❌,-0.07,146
2059,川湖,電子零組件業,4442.6,4303.1,205.9,172.1,133.2,❌,0.19,113
2887,台新新光金,金融保險業,17736.7,30747.5,205.3,329.5,110.1,❌,0.1,77671
8271,宇瞻,半導體業,2913.6,3167.7,200.7,224.4,-8.9,❌,1.82,670
2442,新美齊,建材營造業,48.9,42.8,197.8,168.4,-442.4,❌,-0.25,-3190
4973,廣穎,半導體業,861.8,897.8,192.2,187.2,107.6,✅,0.61,-19
2344,華邦電,半導體業,20596.8,19559.4,186.0,182.2,90.7,✅,0.96,-39239
2905,三商,貿易百貨業,15683.1,39246.9,184.4,352.9,347.5,❌,0.05,1217
2337,旺宏,半導體業,6956.3,7640.4,177.4,175.8,115.8,✅,0.74,10601
3135,凌航,半導體業,1610.1,1783.3,175.9,234.5,94.0,❌,-0.35,-1162
6179,亞通,其他業,1102.2,758.5,175.5,121.8,60.9,❌,0.85,1981
5475,德宏,電子零組件業,174.3,173.2,174.9,160.1,58.4,❌,-0.13,-2297
2425,承啟,電腦及週邊設備業,2408.4,2130.6,171.8,95.2,34.0,❌,0.63,137
5534,長虹,建材營造業,731.3,632.4,157.9,124.2,130.0,❌,-0.62,216
4931,新盛力,電腦及週邊設備業,394.4,433.0,150.0,145.1,109.0,✅,-5.51,-3910
6005,群益證,金融保險業,3645.8,4036.9,146.8,155.5,101.1,✅,-0.02,1424
3036,文曄,電子通路業,181749.4,229685.6,144.6,152.7,33.8,✅,-0.71,-7694
3041,揚智,半導體業,177.1,120.6,141.5,97.9,85.5,❌,0.02,94
6588,東典光電,通信網路業,33.4,35.5,141.4,155.8,9.6,❌,-1.67,-667
5314,世紀*,其他業,578.8,527.1,138.0,157.4,20.7,❌,0.97,4871
2347,聯強,電子通路業,76417.6,73111.3,131.2,129.3,90.0,✅,-0.09,-1914
2382,廣達,電腦及週邊設備業,385190.8,362516.9,128.9,102.9,41.0,❌,-0.03,14071
3443,創意,半導體業,4928.5,5094.1,128.1,132.1,72.0,✅,-1.48,121
4739,康普,化學工業,953.8,971.0,127.8,113.8,4.7,❌,0.77,-552
3081,聯亞,通信網路業,420.5,411.8,127.2,118.8,27.4,✅,0.47,1597
2383,台光電,電子零組件業,17733.0,18755.6,124.0,114.6,59.1,✅,-0.31,-598
2889,國票金,金融保險業,1660.2,2144.0,124.0,147.9,97.6,❌,-0.13,25518
3167,大量,電機機械,1041.0,1002.5,121.0,120.3,-2.7,✅,-2.87,633
