代碼,名稱,產業,上月實際(百萬),上月MoM%,預測(百萬),預測MoM%,預測YoY%,近3月YoY中位,加速度pp,兩法一致,基期註記,大戶週Δpp,法人5日(張)
1808,潤隆,建材營造業,622.9,-43.4,705.5,13.3,36623.4,33032.9,-35227.0,❌,,-0.03,-2089
4416,三圓,建材營造業,346.6,-32.6,341.6,-1.4,3654.7,3633.0,3641.6,✅,,-0.47,23
8926,台汽電,油電燃氣業,7034.5,14.4,7176.9,2.0,1363.5,1459.0,865.0,❌,,-0.1,-5568
8937,合騏*,其他業,77.7,898.1,52.0,-33.0,1092.8,782.6,-464.5,❌,,0.02,-24
5386,青雲,電腦及週邊設備業,4548.3,128.3,3763.1,-17.3,899.1,716.2,303.4,—,⚠️換檔(YoY將失速),1.28,414
7610,聯友金屬-創,綠能環保,1134.2,16.8,1071.9,-5.5,722.0,722.0,259.8,—,,-0.28,251
4157,太景*-KY,生技醫療業,7.1,138.6,7.1,0.0,600.4,-4.0,33.8,—,⚠️換檔(YoY將失速),-0.02,126
5289,宜鼎,電腦及週邊設備業,8680.1,2.2,9438.0,8.7,588.6,636.5,53.4,❌,,-2.85,-770
2408,南亞科,半導體業,44690.3,1.9,45436.1,1.7,581.8,621.3,-96.0,❌,,-2.69,27797
5351,鈺創,半導體業,2260.2,6.4,2562.3,13.4,539.1,590.8,173.8,❌,,-2.87,-7588
3006,晶豪科,半導體業,7904.8,16.5,8085.7,2.3,518.0,491.1,194.3,✅,,-1.41,4362
6547,高端疫苗,生技醫療業,236.4,399.0,521.4,120.6,400.4,-15.3,-7.4,—,⚠️換檔(YoY將失速),-0.26,-1550
8096,擎亞,電子通路業,7264.1,-30.2,9140.2,25.8,389.7,433.5,412.1,❌,,-0.39,1803
8299,群聯,半導體業,28275.7,4.1,30893.0,9.3,374.2,376.5,139.9,✅,,-3.2,48
2425,承啟,電腦及週邊設備業,1982.9,3.8,2227.8,12.3,339.1,143.6,55.8,—,⚠️換檔(YoY將失速),-0.2,350
2059,川湖,電子零組件業,6466.2,0.9,6535.0,1.1,333.6,344.4,265.3,✅,,-1.0,-143
6177,達麗,建材營造業,1109.4,0.7,1109.4,0.0,332.1,470.0,315.7,—,⚠️換檔(YoY將失速),0.28,-1493
3498,陽程,其他電子業,359.4,-16.3,414.9,15.4,326.0,326.0,188.2,✅,,-0.34,-1032
6016,康和證,金融保險業,2727.1,-235.3,1790.5,-34.3,297.1,-46.8,-277.9,—,⚠️換檔(YoY將失速),-4.96,-2734
3260,威剛,半導體業,18925.3,3.0,20082.9,6.1,283.0,279.8,98.3,✅,,-1.68,71
2344,華邦電,半導體業,27308.7,2.0,29586.1,8.3,273.6,289.4,107.5,✅,,-2.67,45140
2451,創見,半導體業,4837.2,-6.9,5652.3,16.9,265.6,307.6,-162.2,❌,,-0.62,234
2527,宏璟,建材營造業,122.3,-26.5,121.3,-0.8,252.6,30.5,26.8,—,⚠️換檔(YoY將失速),0.26,-360
6199,天品,其他業,82.9,6.9,118.3,42.6,240.3,316.3,-407.8,❌,,-0.24,-610
2305,全友,電腦及週邊設備業,181.2,1.5,200.4,10.6,218.9,197.8,116.7,❌,,-0.55,1658
2337,旺宏,半導體業,8145.3,5.4,9203.0,13.0,217.0,216.1,62.4,✅,,-1.49,8899
4973,廣穎,半導體業,1001.5,-0.7,1051.3,5.0,204.0,204.0,97.9,✅,,-0.66,279
2466,冠西電,光電業,225.0,15.9,85.2,-62.1,199.8,53.0,86.3,—,⚠️換檔(YoY將失速),-0.78,882
6691,洋基工程,其他電子業,5287.3,11.0,6334.2,19.8,195.4,177.1,94.7,❌,,-0.48,-176
6933,AMAX-KY,電腦及週邊設備業,1356.7,-5.8,1264.3,-6.8,191.2,191.2,140.5,—,,5.59,246
3661,世芯-KY,半導體業,8776.3,18.1,4717.8,-46.2,181.8,181.8,215.2,—,,2.61,-2945
