code,ym,rev,yoy
1101,2019-01,9394240.0,-2.32
1101,2019-02,5085162.0,5.68
1101,2019-03,10876929.0,11.55
1101,2019-04,10596314.0,-3.87
1101,2019-05,10903967.0,-5.51
1101,2019-06,9866871.0,-8.28
1101,2019-07,10489337.0,-4.76
1101,2019-08,10228796.0,-4.46
1101,2019-09,10120251.0,-3.02
1101,2019-10,11211942.0,-4.6
1101,2019-11,11678701.0,-0.89
1101,2019-12,12349908.0,8.33
1101,2020-01,7502141.0,-20.14
1101,2020-02,5000692.0,-1.66
1101,2020-03,9473250.0,-12.9
1101,2020-04,10216799.0,-3.58
1101,2020-05,10285516.0,-5.67
1101,2020-06,9961312.0,0.95
1101,2020-07,10178622.0,-2.96
1101,2020-08,9885013.0,-3.36
1101,2020-09,9745147.0,-3.7
1101,2020-10,10293900.0,-8.18
1101,2020-11,10889658.0,-6.75
1101,2020-12,10933035.0,-11.33
1101,2021-01,8596261.0,14.58
1101,2021-02,4536849.0,-9.27
1101,2021-03,9779716.0,12.76
1101,2021-04,9672128.0,-1.69
1101,2021-05,9832764.0,-0.4
1101,2021-06,8480821.0,-8.69
1101,2021-07,8319971.0,-11.4
1101,2021-08,8964476.0,-2.62
1101,2021-09,9597804.0,6.22
1101,2021-10,9565047.0,1.03
1101,2021-11,9752687.0,-1.53
1101,2021-12,10821264.0,7.07
1101,2022-01,7517896.0,-7.0
1101,2022-02,5456068.0,30.73
1101,2022-03,9971650.0,1.96
1101,2022-04,8319342.0,-13.98
1101,2022-05,7733787.0,-21.34
1101,2022-06,9145989.0,7.84
1101,2022-07,10102468.0,21.42
1101,2022-08,10689860.0,19.24
1101,2022-09,10404901.0,8.4
1101,2022-10,11368096.0,18.85
1101,2022-11,9674576.0,-0.8
1101,2022-12,12584154.0,16.29
1101,2023-01,7325221.0,-2.56
1101,2023-02,7306069.0,33.9
1101,2023-03,11730367.0,17.63
1101,2023-04,9100119.0,9.38
1101,2023-05,9596091.0,24.08
1101,2023-06,8816109.0,-3.6
1101,2023-07,8953462.0,-11.37
1101,2023-08,9379408.0,-12.25
1101,2023-09,8735157.0,-16.04
1101,2023-10,9371746.0,-17.56
1101,2023-11,8786909.0,-9.17
1101,2023-12,9514039.0,-24.39
1101,2024-01,7237930.0,-1.19
1101,2024-02,4798581.0,-34.32
1101,2024-03,13649152.0,16.35
1101,2024-04,11626493.0,27.76
1101,2024-05,13860276.0,44.43
1101,2024-06,13659543.0,54.93
1101,2024-07,14429687.0,61.16
1101,2024-08,13004435.0,38.64
1101,2024-09,13325249.0,52.54
1101,2024-10,16272067.0,73.62
1101,2024-11,16502520.0,87.8
1101,2024-12,16543379.0,73.88
1101,2025-01,12213350.0,68.74
1101,2025-02,9123490.0,90.12
1101,2025-03,13635386.0,-0.1
1101,2025-04,12681318.0,9.07
1101,2025-05,12619495.0,-8.95
1101,2025-06,10107877.0,-26.0
1101,2025-07,13535929.0,-6.19
1101,2025-08,12214776.0,-6.07
1101,2025-09,13306676.0,-0.13
1101,2025-10,13882248.0,-14.68
1101,2025-11,13121753.0,-20.48
1101,2025-12,14219975.0,-14.04
1101,2026-01,12252892.0,0.32
1101,2026-02,8593689.0,-5.8
1101,2026-03,12412837.0,-8.96
1101,2026-04,12213195.0,-3.69
1101,2026-05,12612013.0,-0.05
1101,2026-06,13382706.0,32.39
1101,2026-07,13744103.0,1.53
1102,2019-01,7905737.0,16.77
1102,2019-02,3165899.0,-7.11
1102,2019-03,8318969.0,30.07
1102,2019-04,8434811.0,17.34
1102,2019-05,8435765.0,9.58
1102,2019-06,7536507.0,-0.17
1102,2019-07,7813300.0,11.28
1102,2019-08,7203378.0,0.32
1102,2019-09,7394901.0,-4.0
1102,2019-10,7016219.0,-8.37
1102,2019-11,8000839.0,4.91
1102,2019-12,8115203.0,23.91
1102,2020-01,5210319.0,-34.09
1102,2020-02,2851105.0,-9.94
1102,2020-03,5077457.0,-38.96
1102,2020-04,6751585.0,-19.95
1102,2020-05,7182969.0,-14.85
1102,2020-06,6752208.0,-10.4
1102,2020-07,6798878.0,-12.98
1102,2020-08,6683133.0,-7.22
1102,2020-09,7256519.0,-1.87
1102,2020-10,7433331.0,5.94
1102,2020-11,7923604.0,-0.96
1102,2020-12,8320877.0,2.53
1102,2021-01,7436331.0,42.72
1102,2021-02,3450204.0,21.01
1102,2021-03,7006606.0,37.99
1102,2021-04,7830830.0,15.98
1102,2021-05,7688883.0,7.04
1102,2021-06,6895504.0,2.12
1102,2021-07,6477630.0,-4.72
1102,2021-08,7193266.0,7.63
1102,2021-09,7831470.0,7.92
1102,2021-10,9454594.0,27.19
1102,2021-11,8985672.0,13.4
1102,2021-12,9403723.0,13.01
1102,2022-01,7420726.0,-0.2
1102,2022-02,4100676.0,18.85
1102,2022-03,8160414.0,16.46
1102,2022-04,8710220.0,11.09
1102,2022-05,8000427.0,2.58
1102,2022-06,7776413.0,9.31
1102,2022-07,7864622.0,15.34
1102,2022-08,7069221.0,-1.72
1102,2022-09,6994078.0,-10.69
1102,2022-10,7601097.0,-19.6
1102,2022-11,8306062.0,-7.56
1102,2022-12,8340507.0,-11.3
1102,2023-01,4814494.0,-35.12
1102,2023-02,6241236.0,52.2
1102,2023-03,8152982.0,-0.09
1102,2023-04,7168871.0,-17.69
1102,2023-05,7238507.0,-9.52
1102,2023-06,6671130.0,-14.21
1102,2023-07,6790125.0,-13.66
1102,2023-08,6469836.0,-8.47
1102,2023-09,6691905.0,-4.32
1102,2023-10,6706168.0,-11.77
1102,2023-11,6915817.0,-16.73
1102,2023-12,6313936.0,-24.29
1102,2024-01,6490566.0,34.81
1102,2024-02,3599986.0,-42.31
1102,2024-03,6409280.0,-21.38
1102,2024-04,5686606.0,-20.67
1102,2024-05,6459670.0,-10.75
1102,2024-06,6838497.0,2.5
1102,2024-07,6722518.0,-0.99
1102,2024-08,6734055.0,4.08
1102,2024-09,6496635.0,-2.91
1102,2024-10,6572799.0,-1.98
1102,2024-11,7193978.0,4.02
1102,2024-12,7085373.0,12.21
1102,2025-01,5877674.0,-9.44
1102,2025-02,4184371.0,16.23
1102,2025-03,6532662.0,1.92
1102,2025-04,6276269.0,10.36
1102,2025-05,6370169.0,-1.38
1102,2025-06,6019299.0,-11.97
1102,2025-07,5836590.0,-13.17
1102,2025-08,5663764.0,-15.89
1102,2025-09,6388217.0,-1.66
1102,2025-10,5833267.0,-11.25
1102,2025-11,5885302.0,-18.19
1102,2025-12,6172608.0,-12.88
1102,2026-01,5986964.0,1.85
1102,2026-02,3493115.0,-16.51
1102,2026-03,5349407.0,-18.11
1102,2026-04,5694459.0,-9.26
1102,2026-05,6296531.0,-1.15
1102,2026-06,5885972.0,-2.21
1102,2026-07,5398231.0,-7.51
1103,2019-01,177060.0,2.88
1103,2019-02,108448.0,-13.64
1103,2019-03,166883.0,-3.85
1103,2019-04,160751.0,-5.93
1103,2019-05,146479.0,-21.18
1103,2019-06,130823.0,-24.34
1103,2019-07,159044.0,2.98
1103,2019-08,162363.0,-6.49
1103,2019-09,151142.0,-9.06
1103,2019-10,176879.0,-0.85
1103,2019-11,186042.0,1.22
1103,2019-12,157879.0,-32.81
1103,2020-01,165029.0,-6.79
1103,2020-02,150813.0,39.06
1103,2020-03,179493.0,7.55
1103,2020-04,158812.0,-1.2
1103,2020-05,171405.0,17.01
1103,2020-06,166768.0,27.47
1103,2020-07,173129.0,8.85
1103,2020-08,152585.0,-6.02
1103,2020-09,163492.0,8.17
1103,2020-10,165638.0,-6.35
1103,2020-11,208929.0,12.3
1103,2020-12,200989.0,27.3
1103,2021-01,195482.0,18.45
1103,2021-02,145091.0,-3.79
1103,2021-03,203954.0,13.62
1103,2021-04,185227.0,16.63
1103,2021-05,196403.0,14.58
1103,2021-06,168756.0,1.19
1103,2021-07,192983.0,11.46
1103,2021-08,166022.0,8.8
1103,2021-09,201306.0,23.12
1103,2021-10,193141.0,16.6
1103,2021-11,197773.0,-5.33
1103,2021-12,171518.0,-14.66
1103,2022-01,158052.0,-19.14
1103,2022-02,134062.0,-7.6
1103,2022-03,220463.0,8.09
1103,2022-04,168089.0,-9.25
1103,2022-05,163521.0,-16.74
1103,2022-06,183177.0,8.54
1103,2022-07,178825.0,-7.33
1103,2022-08,182371.0,9.84
1103,2022-09,205264.0,1.96
1103,2022-10,209429.0,8.43
1103,2022-11,221763.0,12.13
1103,2022-12,228644.0,33.3
1103,2023-01,191217.0,20.98
1103,2023-02,211050.0,57.42
1103,2023-03,249135.0,13.0
1103,2023-04,220272.0,31.04
1103,2023-05,227797.0,39.3
1103,2023-06,277233.0,51.34
1103,2023-07,266631.0,49.1
1103,2023-08,238917.0,31.0
1103,2023-09,232979.0,13.5
1103,2023-10,257343.0,22.87
1103,2023-11,255428.0,15.18
1103,2023-12,283279.0,23.89
1103,2024-01,242960.0,27.05
1103,2024-02,201295.0,-4.62
1103,2024-03,254887.0,2.3
1103,2024-04,238141.0,8.11
1103,2024-05,243833.0,7.03
1103,2024-06,256328.0,-7.54
1103,2024-07,258383.0,-3.09
1103,2024-08,267388.0,11.91
1103,2024-09,249964.0,7.29
1103,2024-10,228409.0,-11.24
1103,2024-11,259190.0,1.47
1103,2024-12,284185.0,0.31
1103,2025-01,268003.0,10.3
1103,2025-02,218169.0,8.38
1103,2025-03,266282.0,4.47
1103,2025-04,271595.0,14.04
1103,2025-05,249182.0,2.19
1103,2025-06,247791.0,-3.33
1103,2025-07,251867.0,-2.52
1103,2025-08,236882.0,-11.4
1103,2025-09,234910.0,-6.02
1103,2025-10,246707.0,8.01
1103,2025-11,249102.0,-3.89
1103,2025-12,274867.0,-3.27
1103,2026-01,256819.0,-4.17
1103,2026-02,188835.0,-13.44
1103,2026-03,242715.0,-8.85
1103,2026-04,207622.0,-23.55
1103,2026-05,230485.0,-7.5
1103,2026-06,229237.0,-7.48
1103,2026-07,242322.0,-3.78
1104,2019-01,479518.0,4.13
1104,2019-02,270638.0,0.93
1104,2019-03,437140.0,-0.08
1104,2019-04,418992.0,8.82
1104,2019-05,421251.0,-1.15
1104,2019-06,353927.0,4.84
1104,2019-07,398238.0,13.49
1104,2019-08,380445.0,7.18
1104,2019-09,391206.0,-5.9
1104,2019-10,503315.0,10.07
1104,2019-11,493403.0,16.97
1104,2019-12,457657.0,-1.68
1104,2020-01,359966.0,-24.93
1104,2020-02,414075.0,52.99
1104,2020-03,479717.0,9.73
1104,2020-04,481205.0,14.84
1104,2020-05,403105.0,-4.3
1104,2020-06,453562.0,28.15
1104,2020-07,477040.0,19.78
1104,2020-08,366990.0,-3.53
1104,2020-09,450890.0,15.25
1104,2020-10,495885.0,-1.47
1104,2020-11,488513.0,-0.99
1104,2020-12,555150.0,21.3
1104,2021-01,511466.0,42.08
1104,2021-02,354013.0,-14.5
1104,2021-03,575019.0,19.86
1104,2021-04,523569.0,8.8
1104,2021-05,533814.0,32.42
1104,2021-06,407130.0,-10.23
1104,2021-07,493738.0,3.5
1104,2021-08,431224.0,17.5
1104,2021-09,528251.0,17.15
1104,2021-10,558944.0,12.71
1104,2021-11,592281.0,21.24
1104,2021-12,569625.0,2.6
1104,2022-01,592322.0,15.8
1104,2022-02,348338.0,-1.6
1104,2022-03,591593.0,2.88
1104,2022-04,638493.0,21.95
1104,2022-05,537082.0,0.61
1104,2022-06,573028.0,40.74
1104,2022-07,580420.0,17.55
1104,2022-08,605512.0,40.41
1104,2022-09,597159.0,13.04
1104,2022-10,634981.0,13.6
1104,2022-11,631827.0,6.67
1104,2022-12,725055.0,27.28
1104,2023-01,504378.0,-14.84
1104,2023-02,591525.0,69.81
1104,2023-03,739446.0,24.99
1104,2023-04,644087.0,0.87
1104,2023-05,671021.0,24.93
1104,2023-06,604263.0,5.45
1104,2023-07,637246.0,9.79
1104,2023-08,617197.0,1.92
