計算日,策略,近期訊號數,近期EV(fwd20)%,歷史EV%,衰減率%,狀態,勝率%
2026-09-20,A+B+C 籌碼趨勢（M哥完整版）,957,-5.36,1.43,475.0,🔴 失效中,28
2026-09-20,波段回檔再進場（第二買點）,625,-6.12,1.7,460.0,🔴 失效中,27
2026-09-20,量縮整理→出量突破（融資沒走）,232,-4.45,1.8,347.0,🔴 失效中,25
2026-09-20,融資維持率創低反彈（量增）,314,-0.46,1.05,143.0,🔴 失效中,34
2026-09-20,運價動能（航運景氣跟蹤）,32,4.18,1.56,-168.0,🟢 正常,69
2026-09-20,股價腰斬的中小型績優股,71,3.7,0.89,-316.0,🟢 正常,41
2026-09-20,大跌中融資逆勢買,300,5.32,0.92,-479.0,🟢 正常,53
2026-09-20,大跌後外資買進（隔日跟單）,830,13.66,1.28,-967.0,🟢 正常,68
2026-09-20,Stage 2 突破（變盤三部曲）,270,-1.55,,,⚪ 無基準,34
2026-09-20,主題基本面輪動,709,-2.55,,,⚪ 無基準,36
2026-09-20,吊燈出場（Chandelier Exit）,2147,-1.14,,,⚪ 無基準,37
