date,code,name
2026-08-12,1301,台塑
2026-08-12,2324,仁寶
2026-08-12,2330,台積電
2026-08-12,2356,英業達
2026-08-12,2454,聯發科
2026-08-12,2464,盟立
2026-08-12,4919,新唐
2026-08-13,2317,鴻海
2026-08-13,2330,台積電
2026-08-13,2356,英業達
2026-08-13,2357,華碩
2026-08-13,2454,聯發科
2026-08-13,3066,李洲
2026-08-13,3441,聯一光
2026-08-13,4938,和碩
2026-08-13,4960,誠美材
2026-08-13,5007,三星
2026-08-13,7750,新代
2026-08-14,2231,為升
2026-08-14,2317,鴻海
2026-08-14,2324,仁寶
2026-08-14,2330,台積電
2026-08-14,2382,廣達
2026-08-14,2409,友達
2026-08-14,2454,聯發科
2026-08-14,3234,光環
2026-08-14,3357,臺慶科
2026-08-14,3481,群創
2026-08-14,3532,台勝科
2026-08-14,3605,宏致
2026-08-14,4938,和碩
2026-08-14,6488,環球晶
2026-08-14,8299,群聯
2026-08-17,1303,南亞
2026-08-17,2059,川湖
2026-08-17,2317,鴻海
2026-08-17,2330,台積電
2026-08-17,2357,華碩
2026-08-17,2382,廣達
2026-08-17,2645,長榮航太
2026-08-17,2886,兆豐金
2026-08-17,3016,嘉晶
2026-08-17,3032,偉訓
2026-08-17,3045,台灣大
2026-08-17,3515,華擎
2026-08-17,3707,漢磊
2026-08-17,4919,新唐
2026-08-18,1325,恆大
2026-08-18,2330,台積電
2026-08-18,2454,聯發科
2026-08-18,2603,長榮
2026-08-18,2609,陽明
2026-08-18,2615,萬海
2026-08-18,3037,欣興
2026-08-18,3189,景碩
2026-08-18,3231,緯創
2026-08-18,5515,建國
2026-08-19,2059,川湖
2026-08-19,2303,聯電
2026-08-19,2317,鴻海
2026-08-19,2328,廣宇
2026-08-19,2330,台積電
2026-08-19,2601,益航
2026-08-19,2603,長榮
2026-08-19,2609,陽明
2026-08-19,2881,富邦金
2026-08-19,3234,光環
2026-08-19,3481,群創
2026-08-19,5608,四維航
2026-08-19,5876,上海商銀
2026-08-20,2228,劍麟
2026-08-20,2324,仁寶
2026-08-20,2328,廣宇
2026-08-20,2330,台積電
2026-08-20,2345,智邦
2026-08-20,2609,陽明
2026-08-20,3443,創意
2026-08-20,4585,達明
2026-08-20,5608,四維航
2026-08-21,1806,冠軍
2026-08-21,2303,聯電
2026-08-21,2330,台積電
2026-08-21,2454,聯發科
2026-08-21,2881,富邦金
2026-08-21,7751,竑騰
2026-08-24,1303,南亞
2026-08-24,2228,劍麟
2026-08-24,2317,鴻海
2026-08-24,2324,仁寶
2026-08-24,2330,台積電
2026-08-24,2383,台光電
2026-08-24,2601,益航
2026-08-24,2613,中櫃
2026-08-24,5608,四維航
2026-08-24,6213,聯茂
2026-08-24,6274,台燿
2026-08-24,6693,廣閎科
2026-08-25,2301,光寶科
2026-08-25,2303,聯電
2026-08-25,2308,台達電
2026-08-25,2317,鴻海
2026-08-25,2324,仁寶
2026-08-25,2330,台積電
2026-08-25,2382,廣達
2026-08-25,2454,聯發科
2026-08-25,2881,富邦金
2026-08-25,2882,國泰金
2026-08-25,3231,緯創
2026-08-25,5347,世界
2026-08-25,7711,永擎
