code,yoy,rev
1101,-2.62,8964476.0
1102,7.63,7193266.0
1103,8.8,166022.0
1104,17.5,431224.0
1108,-31.85,249977.0
1109,-5.48,591358.0
1110,10.78,109276.0
1201,3.07,1917771.0
1203,6.07,540451.0
1210,16.87,7913624.0
1213,-34.72,42312.0
1215,7.69,2037783.0
1216,1.77,41942340.0
1217,-5.4,605106.0
1218,12.52,960802.0
1219,19.71,1167521.0
1220,1.92,265446.0
1225,27.35,1052440.0
1227,-11.16,2813843.0
1229,13.06,793517.0
1231,-1.36,887835.0
1232,12.15,1634616.0
1233,-19.24,137571.0
1234,-13.2,853329.0
1235,-75.9,2284.0
1236,-26.63,107836.0
1702,2.23,1662626.0
1737,41.56,364313.0
3054,-76.42,3153.0
1301,58.37,23158607.0
1303,68.49,37422239.0
1304,51.61,6074485.0
1305,65.44,1751859.0
1307,-24.29,513232.0
1308,93.26,788485.0
1309,35.08,1846662.0
1310,72.9,1130863.0
1312,30.02,1877342.0
1313,65.88,7666218.0
1314,169.49,3348017.0
1315,9.52,209850.0
1321,21.79,545282.0
1323,32.68,334429.0
1324,6.32,92497.0
1325,-90.18,44447.0
1326,61.3,30621450.0
4306,26.62,1464255.0
1402,15.51,19327770.0
1409,37.28,4049279.0
1410,38.62,43566.0
1413,157.99,260225.0
1414,13.32,66782.0
1417,-8.84,74018.0
1418,23.66,4421.0
1419,44.44,223987.0
1423,-6.96,12666.0
1434,12.05,2453091.0
1440,14.94,1414727.0
1441,-36.28,113796.0
1444,46.05,1017562.0
1445,51.81,102038.0
1446,-80.67,15769.0
1447,106.23,1980684.0
1449,-20.27,191301.0
1451,23.99,815573.0
1452,55.8,171621.0
1454,102.65,128509.0
1455,37.87,987059.0
1457,84.18,356213.0
1459,61.06,200609.0
1460,53.21,920232.0
1463,6.05,28601.0
1464,25.19,802061.0
1465,27.1,35555.0
1466,46.77,333540.0
1467,-53.23,522945.0
1468,27.88,88023.0
1470,69.43,87710.0
1473,-17.82,475063.0
1474,41.0,318031.0
1475,253.82,37495.0
1476,24.68,2544549.0
1477,-11.61,2754378.0
4414,-12.35,1493036.0
4426,-65.43,39970.0
4438,-20.5,1441478.0
4440,68.43,170421.0
1503,20.86,2339338.0
1504,19.26,4386806.0
1506,33.14,82072.0
1513,10.78,1466839.0
1514,22.26,443719.0
1515,45.56,1641095.0
1517,35.71,443970.0
1519,-23.1,705918.0
1526,35.64,173495.0
1527,20.41,383380.0
1528,31.05,369008.0
1529,-72.36,35320.0
1530,31.48,337700.0
1531,91.75,273558.0
1532,41.2,1665213.0
1535,-7.55,690125.0
1537,-67.7,193093.0
1538,-35.11,16692.0
1539,21.65,241574.0
1540,-2.73,21460.0
1541,65.24,674920.0
1558,-53.08,382470.0
1560,18.58,512863.0
1583,28.34,561792.0
1597,24.99,151508.0
2049,38.97,2529149.0
2371,23.12,2793519.0
3167,60.73,384221.0
4526,59.02,885974.0
4532,7.0,1540420.0
4540,11.83,292876.0
4555,35.01,188963.0
4562,59.63,79112.0
4564,23.19,228775.0
4566,34.74,394438.0
4572,73.9,39537.0
4576,45.6,275969.0
4583,13.47,240476.0
6606,42.84,68805.0
