code,yoy,rev
1264,18.24,606527.0
1294,14.95,71230.0
1295,63.6,117290.0
1780,-12.1,58177.0
1796,-38.62,41088.0
4205,-0.95,177206.0
4207,8.73,487562.0
6846,2.33,69354.0
7743,14.59,55808.0
4303,-0.01,14989.0
4304,27.52,34002.0
4305,25.66,102547.0
9950,-14.75,234874.0
4401,66.63,399098.0
4402,-73.91,844.0
4406,7.53,41401.0
4413,124.47,41559.0
4417,12.78,312903.0
4420,41.16,87732.0
4432,6.42,91286.0
4433,-0.36,361933.0
6506,12.57,160747.0
1570,214.21,60916.0
1580,-9.9,393453.0
1586,12.99,221775.0
1599,2.48,335358.0
2066,-2.22,221507.0
2067,-12.01,86348.0
2070,81.29,91338.0
2235,27.59,62970.0
3162,46.28,409763.0
3226,-9.69,171008.0
3379,120.64,89141.0
3685,-8.95,161004.0
4502,-13.54,120126.0
4503,16.88,25703.0
4506,-5.94,414307.0
4510,-25.22,149611.0
4513,-50.24,53347.0
4523,-5.97,40681.0
4527,-19.85,269932.0
4528,-1.2,163312.0
4533,42.68,315240.0
4534,6.27,62709.0
4535,2.08,258239.0
4538,15.05,33785.0
4543,14.8,66164.0
4549,-13.39,109059.0
4550,-36.16,100764.0
4558,-44.08,116362.0
4561,-18.14,104788.0
4563,33.15,297186.0
4568,7.75,125771.0
4580,-19.75,187440.0
4584,38.18,108194.0
5381,1192.64,326820.0
6122,-40.37,285102.0
6125,-55.63,223007.0
6425,41.7,106810.0
6603,37.59,367492.0
6609,23.68,263177.0
6843,1.58,70700.0
6982,16.35,134104.0
7642,-4.23,122007.0
7709,-57.06,47835.0
7718,34.46,277535.0
8027,-18.34,139795.0
8083,-12.81,100310.0
8107,43.41,82517.0
8255,30.87,671448.0
9951,2.79,477187.0
2061,36.59,101640.0
1742,26.99,18363.0
3430,47.17,135467.0
4706,8.95,106091.0
4707,81.51,142515.0
4711,5.27,69287.0
4714,35.02,62590.0
4716,11.97,54979.0
4721,-22.37,160505.0
4741,-16.83,42292.0
4754,3.32,49008.0
4767,-10.06,100480.0
4768,35.97,88123.0
4772,18.29,76408.0
6509,-5.19,384977.0
1565,14.57,402115.0
1777,-1.47,122710.0
1781,24.33,84679.0
1784,-4.88,103970.0
1788,-2.27,344486.0
1799,306.19,52030.0
1813,-33.47,22545.0
3118,46.98,65312.0
3176,-31.56,113872.0
3205,1.66,39158.0
3218,9.41,394311.0
4102,31.14,60192.0
4105,4.72,443631.0
4107,5.0,183865.0
4109,20.71,33606.0
4111,6.53,94612.0
4114,17.48,493398.0
4116,2.57,403629.0
4120,-4.33,378710.0
4121,3.84,327073.0
4123,22.1,147602.0
4126,10.07,215031.0
4127,-9.22,32555.0
4128,5.96,144039.0
4129,4.63,323332.0
4131,8.73,5242.0
4138,-12.64,113988.0
4147,1.57,50315.0
4153,3.38,69250.0
4160,10.08,57977.0
4161,-8.27,62281.0
4162,-11.95,26013.0
4163,-17.53,183852.0
4166,16.18,100816.0
4167,22.84,108982.0
4168,-75.0,19.0
4173,-3.56,108363.0
4174,100.16,5945.0
4175,2.78,648651.0
4183,-67.57,14280.0
4188,-32.3,2521.0
4192,24.53,2700.0
4198,13.03,25120.0
4726,35.11,69123.0
4728,-9.34,149207.0
4735,2.52,79172.0
4743,63.45,11004.0
4744,-29.11,90819.0
4747,11.67,58944.0
4905,319.24,55609.0
4911,23.47,19858.0
5312,3.27,355391.0
6130,-31.89,14976.0
6242,-3.62,37840.0
6461,65.4,5364.0
6469,6.8,1469131.0
6492,0.0,83.0
6496,-0.41,71841.0
6499,233.99,63318.0
6523,2.79,129011.0
6527,8.75,78823.0
6535,-99.46,40.0
6547,-45.37,55509.0
6569,-17.02,100884.0
6574,0.56,46982.0
6576,,19137.0
6612,83.55,97785.0
6615,-4.07,37855.0
6620,-29.41,65016.0
6637,-3.69,48799.0
6649,160.62,12119.0
6661,-14.3,24192.0
6662,34.15,28235.0
6703,4.68,282561.0
6712,11.4,87789.0
6730,-8.38,36473.0
6733,129.36,16074.0
6762,71.69,58318.0
6767,33.1,33754.0
6785,,0.0
6841,424.52,34545.0
6844,-5.2,287824.0
6872,,92.0
6875,,0.0
6929,4.69,274142.0
6945,,0.0
6986,91.44,28117.0
7713,8.92,91801.0
8279,15.71,196043.0
8403,14.12,383671.0
8409,-40.71,11160.0
8432,45.52,88766.0
8436,-31.83,532725.0
2035,40.31,1222458.0
2063,-47.24,76658.0
2064,17.11,152141.0
2065,28.31,208899.0
2073,40.89,56015.0
4950,-99.27,90.0
5009,-5.11,1058282.0
5011,70.47,439552.0
5013,-17.89,700409.0
5014,8.46,1426447.0
5015,-5.87,147702.0
5016,0.14,172926.0
6248,64.28,831473.0
8349,-0.28,1101719.0
8415,-8.23,1993350.0
8930,-0.64,138966.0
9962,-43.05,195990.0
1595,-21.01,82869.0
3105,7.01,1501179.0
3122,-14.97,30168.0
3131,38.82,327076.0
3141,-14.06,129518.0
3169,-10.12,66215.0
3178,-42.16,91188.0
3227,47.19,761505.0
3228,30.57,31350.0
3259,-11.1,19292.0
3260,1.93,3028522.0
3264,-13.48,1133419.0
3265,9.95,359836.0
3268,-13.15,79080.0
3317,5.78,249408.0
3372,6.8,81577.0
3374,14.77,699520.0
3438,18.26,92960.0
3467,17.86,51387.0
3527,-20.8,122801.0
3529,9.44,287741.0
3555,766.77,5426.0
3556,-10.78,77503.0
3567,-38.71,26845.0
3581,3.61,126288.0
3675,34.18,248351.0
3680,45.03,646017.0
3707,-15.44,507467.0
4749,48.56,278970.0
4923,9.4,72304.0
4951,30.78,44360.0
4973,-4.15,369371.0
5272,-12.18,31612.0
5274,178.14,677094.0
5299,-14.32,145669.0
5302,-24.17,1176.0
5344,4.88,29137.0
5347,3.31,3633002.0
5351,47.62,326614.0
5425,0.02,1312928.0
5443,112.51,415556.0
5468,-13.44,10063.0
5483,12.01,6911008.0
5487,30.65,18279.0
6103,17.41,5725.0
6104,49.33,302143.0
6129,-23.53,93287.0
6138,7.39,532387.0
6147,6.39,1858827.0
6182,-8.52,789616.0
6187,497.69,677691.0
6208,-16.24,327581.0
6223,26.41,901435.0
6229,67.64,164717.0
6233,52.4,38576.0
6237,25.23,36058.0
6261,30.98,318562.0
6291,-48.68,143396.0
6411,29.19,265573.0
6423,-24.85,10502.0
6435,-1.36,233724.0
6462,43.63,436937.0
6485,-20.72,112854.0
6488,-1.87,5359419.0
6494,-12.52,110610.0
6510,45.34,302038.0
6532,13.41,72178.0
6548,7.46,1067807.0
6568,4.66,90509.0
6640,135.54,169096.0
6643,-10.46,126706.0
