code,yoy,rev
4442,-2.42,202709.0
1591,-26.12,26971.0
4139,-0.22,108614.0
4157,6482.79,223815.0
4745,-32.87,271253.0
6617,30.49,3505.0
4966,8.17,1483952.0
4971,25.9,110334.0
4991,13.22,232221.0
6907,21.72,164798.0
5223,25.79,200120.0
3664,-22.12,192095.0
7717,30.96,74793.0
5227,-5.65,27748.0
8455,1.08,91098.0
5543,3.1,286302.0
2726,-4.78,39762.0
4804,-10.53,9902.0
2724,65.71,23702.0
4154,189.44,6938.0
5276,-3.91,85632.0
8426,-18.02,310082.0
8437,-31.48,14609.0
8444,-25.09,220224.0
4924,-29.67,74661.0
8423,18.54,32823.0
6741,25.61,198083.0
2924,237.82,11922.0
6616,-29.61,84654.0
6629,70.02,159500.0
