code,yoy,rev
1256,56.2,455560.0
1337,-31.32,42068.0
1340,-81.22,5277.0
1341,18.06,265857.0
4439,21.19,685364.0
1589,16.56,765250.0
1590,25.23,4342337.0
4552,-5.71,320164.0
4560,14.39,174042.0
4571,10.39,235520.0
5288,24.84,739443.0
1626,-10.14,960282.0
4763,-41.52,877660.0
4137,4.46,348801.0
4148,55.04,362005.0
4178,29.69,32673.0
4190,5.22,179900.0
6431,31.21,41697.0
6541,914.88,86793.0
6550,-57.12,1668.0
6598,41.83,60981.0
6666,12.24,114469.0
7827,,9542.0
5538,11.28,1288935.0
1338,12.1,458159.0
2115,16.39,337194.0
2236,5.19,954692.0
2239,-6.66,1715526.0
2243,15.41,91838.0
2248,58.99,232847.0
2250,-8.53,279563.0
4557,-29.11,288389.0
4569,0.74,150342.0
4581,8.42,111929.0
3661,-32.31,2132653.0
6415,28.13,2014046.0
6451,-2.78,641118.0
6525,18.29,539678.0
6573,-19.63,63875.0
6854,-7.36,48907.0
6962,-3.9,1660220.0
7749,39.5,191114.0
5215,72.73,367757.0
6591,-52.81,90424.0
6933,50.74,665135.0
3673,5.82,6803844.0
4935,-35.5,328126.0
5243,-9.44,1045709.0
6456,-34.46,3893399.0
4977,-43.18,58031.0
6863,45.59,522602.0
4912,30.44,615548.0
4927,-8.09,919126.0
4943,45.87,192263.0
4958,11.82,15196261.0
6672,36.92,510001.0
6781,16.56,1522539.0
6862,-49.12,141437.0
6924,54.38,205890.0
3665,18.54,7382955.0
5225,-11.27,834886.0
8499,95.5,333108.0
2923,160.84,580523.0
5546,-57.84,108838.0
2637,21.23,1645848.0
2723,-15.51,1368644.0
2929,-4.39,147514.0
2939,6.79,21890.0
4807,47.28,173098.0
5906,12.68,136774.0
5907,11.28,248163.0
8429,-2.46,14302.0
6641,41.97,193190.0
6887,-13.1,298282.0
7823,15.64,29166.0
2762,10.48,970752.0
6768,5.91,2124895.0
6890,-9.22,4211254.0
6965,-0.61,1746047.0
8467,40.53,234216.0
9802,9.68,1635429.0
6671,7.16,186287.0
6807,-26.79,295730.0
8482,16.33,279317.0
5284,54.65,394534.0
5871,-3.86,7950143.0
6957,53.31,368407.0
8404,1.96,681932.0
8411,27.88,760087.0
8442,9.24,739826.0
8466,-30.6,208194.0
8488,67.98,329467.0
9105,5.4,10511786.0
912000,-13.79,91627.0
