code,yoy,rev,month
1264,5.77,720821.0,1
1294,117.94,90427.0,1
1295,14.38,81085.0,1
1780,0.71,73900.0,1
1796,-10.83,54413.0,1
4205,-2.83,173777.0,1
4207,17.23,495326.0,1
6846,6.33,55897.0,1
7743,45.27,46325.0,1
4303,29.58,82925.0,1
4304,-26.81,25027.0,1
4305,29.66,95641.0,1
9950,2.81,225022.0,1
4401,45.88,325432.0,1
4402,-26.49,1853.0,1
4406,5.1,38958.0,1
4413,163.35,67093.0,1
4417,5.73,322651.0,1
4420,7.91,75075.0,1
4432,-42.77,89402.0,1
4433,24.01,278459.0,1
6506,35.05,207965.0,1
1570,-18.59,44781.0,1
1580,12.81,430388.0,1
1586,16.82,218429.0,1
1599,39.85,213510.0,1
2066,1.87,238572.0,1
2067,34.6,87856.0,1
2070,13.87,46109.0,1
2235,45.05,51770.0,1
3162,30.94,749985.0,1
3226,-31.78,124369.0,1
3379,-14.05,79889.0,1
3685,50.26,118762.0,1
4502,6.32,80533.0,1
4503,18.79,40962.0,1
4506,10.49,659335.0,1
4510,38.65,142530.0,1
4513,25.53,83606.0,1
4523,342.69,211809.0,1
4527,2.82,180285.0,1
4528,3.18,143809.0,1
4533,-27.81,345624.0,1
4534,18.64,88015.0,1
4535,9.42,243338.0,1
4538,122.75,33769.0,1
4543,80.31,84163.0,1
4549,11.88,94428.0,1
4550,112.29,104841.0,1
4558,-7.52,101456.0,1
4561,75.39,87281.0,1
4563,-34.05,143729.0,1
4568,-21.27,105619.0,1
4580,5.59,195090.0,1
4584,-16.34,97835.0,1
5381,-36.46,229854.0,1
6122,5.62,291171.0,1
6125,25.01,258170.0,1
6425,47.51,105149.0,1
6603,0.58,371434.0,1
6609,-6.33,154214.0,1
6843,17.84,60562.0,1
6982,42.62,189012.0,1
7642,-43.45,44766.0,1
7709,20.3,45399.0,1
7718,-9.95,202104.0,1
8027,43.35,102016.0,1
8083,41.35,105508.0,1
8107,-33.72,52403.0,1
8255,2.35,649711.0,1
9951,13.94,581042.0,1
2061,43.27,132378.0,1
1742,-44.95,6303.0,1
3430,21.59,171148.0,1
4706,23.88,100922.0,1
4707,46.09,128378.0,1
4711,85.92,82125.0,1
4714,141.24,237491.0,1
4716,37.76,39365.0,1
4721,31.09,274929.0,1
4741,-8.01,39776.0,1
4754,-5.81,59762.0,1
4767,-21.58,77835.0,1
4768,228.67,164468.0,1
4772,309.36,288134.0,1
6509,15.72,568229.0,1
1565,-6.06,310973.0,1
1777,-10.12,86700.0,1
1781,-29.35,37098.0,1
1784,23.55,106817.0,1
1788,13.8,420924.0,1
1799,140.23,77447.0,1
1813,21.88,28118.0,1
3118,24.15,57188.0,1
3176,-4.04,93317.0,1
3205,33.97,46923.0,1
3218,-11.94,367430.0,1
4102,41.6,52296.0,1
4105,16.17,561125.0,1
4107,19.45,190670.0,1
4109,19.3,37654.0,1
4111,23.7,133276.0,1
4114,25.41,634910.0,1
4116,20.05,493783.0,1
4120,4.39,445452.0,1
4121,-2.15,323839.0,1
4123,56.41,191292.0,1
4126,15.98,200164.0,1
4127,37.06,53601.0,1
4128,8.68,180018.0,1
4129,20.07,475485.0,1
4131,-23.16,17172.0,1
4138,5.16,119222.0,1
4147,-23.95,37883.0,1
4153,25.24,69283.0,1
4160,14.96,47875.0,1
4161,39.07,74589.0,1
4162,208.28,72186.0,1
4163,38.56,253458.0,1
4166,10.54,145393.0,1
4167,-14.23,83862.0,1
4168,,0.0,1
4173,41.98,176965.0,1
4174,140.18,1333.0,1
4175,2.31,644494.0,1
4183,-25.25,27517.0,1
4188,26.47,2914.0,1
4192,20.79,2149.0,1
4198,4.95,15274.0,1
4726,0.94,45660.0,1
4728,11.35,224413.0,1
4735,-13.12,60623.0,1
4743,66.45,12779.0,1
4744,112.87,66271.0,1
4747,-1.2,58358.0,1
4905,38.12,81734.0,1
4911,-60.85,10733.0,1
5312,11.73,376472.0,1
6130,120.52,17073.0,1
6242,33.55,43660.0,1
6461,394.18,7393.0,1
6469,-0.48,1603658.0,1
6492,-3.61,80.0,1
6496,35.1,95614.0,1
6499,12.28,30268.0,1
6523,-26.28,89883.0,1
6527,8.45,74509.0,1
6535,9777.5,3951.0,1
6547,3.15,37098.0,1
6569,-5.02,78030.0,1
6574,52.15,66442.0,1
6576,14.82,12790.0,1
6612,-15.68,75387.0,1
6615,6.31,33079.0,1
6620,32.15,75690.0,1
6637,-11.88,43172.0,1
6649,-51.48,7662.0,1
6661,28.24,29019.0,1
6662,23.37,24457.0,1
6703,10.42,238429.0,1
6712,2.35,58197.0,1
6730,4.88,42720.0,1
6733,32.87,23028.0,1
6762,-0.4,51295.0,1
6767,1.77,30734.0,1
6785,,0.0,1
6841,34.55,27435.0,1
6844,-9.87,280741.0,1
6872,88.0,658.0,1
6875,,0.0,1
6929,-6.1,264841.0,1
6945,,0.0,1
6986,23.12,15352.0,1
7713,21.74,98293.0,1
7814,27.2,4779.0,1
8279,6.62,129453.0,1
8403,9.44,385201.0,1
8409,300.55,18718.0,1
8432,27.72,107045.0,1
8436,12.2,600560.0,1
2035,44.49,917938.0,1
2063,-17.17,65803.0,1
2064,37.18,153852.0,1
2065,-2.72,180374.0,1
2073,6.94,42327.0,1
4950,12.8,90061.0,1
5009,8.87,1044144.0,1
5011,-17.66,374438.0,1
5013,27.24,702602.0,1
5014,70.94,1464421.0,1
5015,-37.09,83116.0,1
5016,1.19,152815.0,1
6248,9.11,638211.0,1
8349,4.62,1036597.0,1
8415,11.45,2124443.0,1
8930,58.91,132791.0,1
9962,-47.19,123906.0,1
1595,12.12,58304.0,1
3105,24.66,1467701.0,1
3122,7.41,29708.0,1
3131,41.96,526758.0,1
3141,6.63,128759.0,1
3169,4.08,82239.0,1
3178,-20.89,75607.0,1
3227,1.0,808645.0,1
3228,-20.45,24456.0,1
3259,3.1,18519.0,1
3260,198.92,8411537.0,1
3264,22.27,1300609.0,1
3265,18.29,425893.0,1
3268,12.5,67716.0,1
3317,19.29,272576.0,1
3372,60.14,114866.0,1
3374,45.8,651321.0,1
3438,-13.66,70623.0,1
3467,4.61,52696.0,1
3527,9.61,110682.0,1
3529,22.38,667012.0,1
3555,3727.36,70347.0,1
3556,113.89,130056.0,1
3567,-2.1,21140.0,1
3581,17.73,149722.0,1
3675,9.21,220986.0,1
3680,62.73,633937.0,1
3707,24.97,503798.0,1
4749,16.13,366958.0,1
4923,33.46,80107.0,1
4951,-0.4,43287.0,1
4973,79.61,664813.0,1
5272,-15.1,22430.0,1
5274,28.46,900364.0,1
5299,-8.34,130363.0,1
5302,308.05,2432.0,1
5344,48.47,31611.0,1
5347,18.37,4011598.0,1
5351,291.69,763717.0,1
5425,2.16,1465010.0,1
5443,-5.41,269435.0,1
5468,15.15,11145.0,1
5483,-1.24,5897140.0,1
5487,-9.45,11265.0,1
6103,15.99,8855.0,1
6104,8.37,361304.0,1
6129,60.05,97992.0,1
6138,11.54,682723.0,1
6147,19.31,1962425.0,1
6182,18.86,852700.0,1
6187,6.18,390794.0,1
6208,12.52,279585.0,1
6223,33.05,1227414.0,1
6229,66.81,205384.0,1
6233,-10.87,29833.0,1
6237,35.01,51092.0,1
6261,26.36,392889.0,1
6291,77.53,242819.0,1
6411,19.69,252293.0,1
6423,3.47,55773.0,1
6435,0.42,335851.0,1
6462,200.09,1031213.0,1
6485,10.54,136579.0,1
6488,-14.28,4139278.0,1
6494,53.72,130829.0,1
6510,19.27,454126.0,1
6532,-19.23,50141.0,1
6548,13.79,1200739.0,1
6568,8.11,123987.0,1
6640,56.66,230696.0,1
6643,-2.46,109888.0,1
6651,24.91,146931.0,1
6679,5.05,178808.0,1
6683,46.68,220173.0,1
6684,3.63,26477.0,1
6693,46.19,168011.0,1
6708,-3.24,15697.0,1
6716,230.35,158359.0,1
6720,-22.7,32757.0,1
6732,2.16,399449.0,1
6788,35.54,220782.0,1
6823,28.21,40421.0,1
6829,6.28,166395.0,1
6895,41.28,40176.0,1
6953,62.41,92809.0,1
6996,32.09,261237.0,1
7556,21.21,75668.0,1
7704,12.12,52526.0,1
7712,12.5,113212.0,1
7734,142.0,304350.0,1
7751,80.56,197915.0,1
7770,6.51,15147.0,1
7772,5.15,33259.0,1
7810,46.49,63584.0,1
7828,23300.0,73008.0,1
8024,-43.23,6678.0,1
8040,19.76,63173.0,1
8054,698.93,895824.0,1
8086,90.16,417391.0,1
8088,136.0,202401.0,1
8091,39.49,210247.0,1
8102,-45.01,27736.0,1
8227,172.7,120470.0,1
8277,-19.85,9957.0,1
8299,189.24,10451593.0,1
8383,9.31,312483.0,1
1569,-5.8,241493.0,1
3071,25.51,244679.0,1
3088,50.04,610625.0,1
3211,52.24,1005478.0,1
3213,-29.21,257882.0,1
3272,26.06,243630.0,1
3287,35.06,98823.0,1
3323,2.99,383141.0,1
3325,-17.32,103828.0,1
3349,-13.91,31636.0,1
3479,20.99,720418.0,1
3483,21.51,734807.0,1
3540,-9.62,455608.0,1
3577,5.52,139885.0,1
3594,9.73,134403.0,1
3611,5.59,933225.0,1
3625,22.56,41253.0,1
3693,-38.52,480138.0,1
3709,132.66,4786144.0,1
4931,42.29,289976.0,1
5289,307.1,3331472.0,1
5356,-29.36,225207.0,1
5386,406.8,2461029.0,1
5426,29.35,230639.0,1
5438,-32.05,56741.0,1
5465,1.81,525950.0,1
5474,13.43,119327.0,1
5490,11.36,143960.0,1
6121,3.1,5941122.0,1
6150,2.05,539430.0,1
6160,-32.7,65798.0,1
6161,10.21,110331.0,1
6188,0.84,739122.0,1
6228,-6.97,5242.0,1
6276,-24.71,108407.0,1
6441,-73.04,8120.0,1
6570,35.64,90895.0,1
6577,-4.99,187605.0,1
6680,32.18,62509.0,1
6922,48.67,187708.0,1
8050,-5.32,424578.0,1
8076,29.96,166829.0,1
8234,-26.68,447406.0,1
8410,33.22,81174.0,1
3066,45.19,28216.0,1
3128,-11.11,94187.0,1
3230,-24.81,29590.0,1
3297,-29.58,10972.0,1
3339,73.57,70402.0,1
3362,17.46,429482.0,1
3434,-51.51,24883.0,1
3441,36.12,40761.0,1
3455,-7.87,62153.0,1
3490,-9.28,16251.0,1
3516,31.89,110216.0,1
3523,-29.38,2973.0,1
3531,-18.97,108305.0,1
3615,29.94,81936.0,1
3623,45.76,30579.0,1
3630,44.43,270748.0,1
3666,-36.7,27301.0,1
3691,195.7,849593.0,1
4729,1.8,88731.0,1
4933,21.27,270441.0,1
4972,2.95,88948.0,1
4995,16.33,125477.0,1
5220,51.37,112846.0,1
5230,41.17,116782.0,1
5245,1.04,70718.0,1
5251,-35.46,25031.0,1
5315,10.88,167121.0,1
5371,12.28,3206189.0,1
5392,20.8,784461.0,1
6167,33.78,132321.0,1
6222,-30.03,177.0,1
6234,31.06,41616.0,1
6244,1.76,251665.0,1
6246,-8.58,108986.0,1
6419,-8.75,57072.0,1
6498,38.34,123031.0,1
6517,-42.17,26304.0,1
6556,2.79,132846.0,1
6560,342.27,36899.0,1
6859,2.08,70421.0,1
6899,12.38,90821.0,1
7402,-25.46,31002.0,1
7753,32.71,74653.0,1
8049,1.61,100555.0,1
8064,35.08,196579.0,1
8069,22.86,2780203.0,1
8111,13.41,70312.0,1
8240,-9.9,587900.0,1
3081,122.78,270770.0,1
3095,16.77,51808.0,1
3152,-9.07,121166.0,1
3163,47.88,234703.0,1
3221,7.02,190604.0,1
3234,3.04,67713.0,1
