主題,市場,代碼,名稱,20日%,60日%,距60日高%,燈號
光通訊/CPO,🇨🇳,300308.SZ,中際旭創,8.4,-24.6,-22.8,
光通訊/CPO,🇨🇳,300502.SZ,新易盛,13.1,-21.6,-20.7,
光通訊/CPO,🇹🇼,3363,上詮,-1.1,19.7,-18.2,
光通訊/CPO,🇹🇼,3163,波若威,-14.7,-11.6,-18.9,
光通訊/CPO,🇹🇼,4979,華星光,-1.3,31.0,-6.2,
光通訊/CPO,🇹🇼,4977,眾達-KY,0.6,-1.8,-10.0,
光通訊/CPO,🇹🇼,3450,聯鈞,-9.4,-2.3,-19.5,
光通訊/CPO,🇹🇼,6442,光聖,-5.9,-7.6,-15.8,
電子布/CCL,🇨🇳,603256.SS,宏和科技,17.1,-38.7,-34.1,
電子布/CCL,🇨🇳,600183.SS,生益科技,10.4,-12.9,-10.7,
電子布/CCL,🇨🇳,600176.SS,中國巨石,15.5,-35.1,-35.7,
電子布/CCL,🇹🇼,1815,富喬,1.7,15.4,-6.3,
電子布/CCL,🇹🇼,1802,台玻,-3.5,-23.0,-19.0,
電子布/CCL,🇹🇼,6274,台燿,-4.6,-13.6,-18.4,
電子布/CCL,🇹🇼,6213,聯茂,-7.2,47.2,-7.2,
電子布/CCL,🇹🇼,2383,台光電,-14.5,-6.9,-20.9,
矽晶圓,🇨🇳,688126.SS,滬硅產業,2.6,-39.4,-33.6,
矽晶圓,🇨🇳,002129.SZ,TCL中環,4.0,-19.2,-12.9,
矽晶圓,🇹🇼,3532,台勝科,16.5,22.3,-14.9,
矽晶圓,🇹🇼,6488,環球晶,0.1,-14.0,-37.1,
矽晶圓,🇹🇼,6182,合晶,7.9,-14.4,-39.1,
記憶體,🇨🇳,603986.SS,兆易創新,1.6,-48.4,-42.6,
記憶體,🇨🇳,688008.SS,瀾起科技,11.1,-29.2,-21.7,
記憶體,🇹🇼,2408,南亞科,-0.4,14.2,-5.2,
記憶體,🇹🇼,2344,華邦電,-5.0,-16.9,-9.2,
記憶體,🇹🇼,8299,群聯,4.2,-2.4,-3.5,
PCB,🇨🇳,002463.SZ,滬電股份,7.4,-11.7,-6.7,
PCB,🇹🇼,2368,金像電,9.6,-5.0,-12.6,
PCB,🇹🇼,2316,楠梓電,-1.2,-26.7,-27.5,
PCB,🇹🇼,3044,健鼎,12.9,4.8,0.0,
被動元件,🇨🇳,300408.SZ,三環集團,20.0,-23.5,-12.0,
被動元件,🇨🇳,000636.SZ,風華高科,15.2,-20.9,-12.1,
被動元件,🇹🇼,2327,國巨,6.7,-49.7,-49.7,
被動元件,🇹🇼,2492,華新科,13.5,-45.8,-49.0,
面板,🇨🇳,000725.SZ,京東方,5.2,-31.4,-33.8,
面板,🇹🇼,2409,友達,36.1,6.1,-5.3,
面板,🇹🇼,3481,群創,6.9,-27.8,-28.3,
