date,code,name,ref_close,thesis,status,close_date,close_note,buy_price,close_price,shares
2026-08-25,2618,長榮航,42.2,"航空族群:Q3旺季+航運營收反轉環境;系統座標=營收YoY+21~27連五月、法人5日大買36,734張(雙確認型)",closed,2026-09-04,"使用者回報已出場(出場價未提供,可於頁6補記)",42.2,46.2,1.0
2026-08-25,4958,臻鼎-KY,444.0,"PCB/AI鏈:營收YoY 5-7月+32~37加速、族群已熱;⚠️買進當下法人5日賣超17,382張(法人調節中),煞車紀律要嚴",closed,2026-09-04,"出在472(+6.3%),分批第1筆獲利了結;第2筆452.5續抱",444.0,472.0,1.0
2026-09-04,2449,京元電子,261.0,"京元電AI測試/月營收+36.7%;買在8/28利多爆量後追高,外資連日倒貨中、投信連買在接;進場價暫記270.5待修正",closed,2026-09-18,,275.5,278.5,1.0
2026-09-04,3042,晶技,174.0,AI光通訊石英/雙A佔比將破5成、訂單能見度2027;分批第1筆,closed,2026-09-13,,187.5,185.5,1.0
2026-09-04,3042,晶技,174.0,分批第2筆(拉回加碼);兩筆均價180.25,closed,2026-09-13,,173.0,185.5,1.0
2026-09-04,4958,臻鼎-KY,464.0,"加碼第2筆(原持444);營收強但法人賣壓仍在,煞車紀律要嚴",closed,2026-09-07,"使用者出場@506(+11.8%),第2筆也獲利了結",452.5,506.0,1.0
2026-09-07,3455,由田,235.0,使用者買進(論點待補),closed,2026-09-17,,240.0,259.0,1.0
2026-09-14,2408,南亞科,493.0,"記憶體超級週期(供給側缺貨);遵循系統統計洗盤帶劇本,開低進476(原掛465-475區上緣外1元);停損449.9(-1.5ATR)",closed,2026-09-17,,476.0,481.0,1.0
2026-09-14,3055,蔚華科,154.5,玻璃TGV產業,closed,2026-09-23,,154.0,216.0,1.0
2026-09-17,6693,廣閎科,184.0,功率半導體需求不減,closed,2026-09-18,,183.5,185.5,1.0
2026-09-17,6199,天品,105.0,(論點待補),closed,2026-09-18,,102.5,106.5,1.0
2026-09-17,6199,天品,105.0,(論點待補),closed,,,102.5,,1.0
2026-09-17,3042,晶技,178.5,(論點待補),closed,2026-09-23,,182.5,186.0,1.0
2026-09-17,3042,晶技,178.5,(論點待補),closed,2026-09-23,,185.5,187.5,1.0
2026-09-18,3036,文曄,204.0,(論點待補),closed,2026-09-21,,204.0,205.5,1.0
2026-09-18,2338,光罩,48.8,(論點待補),closed,2026-09-21,,49.6,50.1,1.0
2026-09-18,2338,光罩,48.8,(論點待補),closed,2026-09-21,,48.8,50.1,1.0
2026-09-18,3455,由田,246.0,(論點待補),closed,2026-09-21,,251.0,253.0,1.0
2026-09-18,2338,光罩,48.8,(論點待補),closed,2026-09-21,,49.6,50.1,1.0
2026-09-18,2338,光罩,48.8,(論點待補),closed,2026-09-21,,49.85,50.1,1.0
2026-09-21,2338,光罩,49.05,(論點待補),open,,,49.8,,2.0
2026-09-21,8028,昇陽半導體,257.5,(論點待補),open,,,260.5,,1.0
2026-09-21,2464,盟立,192.5,(論點待補),closed,2026-09-23,,194.0,195.5,1.0
2026-09-21,4919,新唐,125.5,(論點待補),closed,2026-09-22,,128.5,130.0,1.0
2026-09-22,3455,由田,256.5,(論點待補),closed,2026-09-24,,247.5,252.5,1.0
2026-09-22,6706,惠特,164.0,(論點待補),open,,,155.5,,1.0
2026-09-23,4919,新唐,134.0,(論點待補),closed,2026-09-24,,137.5,138.5,1.0
2026-09-23,2449,京元電子,304.0,(論點待補),open,,,318.5,,1.0
2026-09-24,3715,定穎投控,125.5,(論點待補),open,,,124.0,,1.0
2026-09-24,4551,智伸科,163.5,(論點待補),open,,,155.0,,
