code,events,dump_rate
0050,89,28.1
0052,65,26.2
0056,145,26.9
0061,5,0.0
1101,172,30.2
1102,183,18.0
1104,19,5.3
1210,90,8.9
1215,32,0.0
1216,164,26.2
1217,10,20.0
1218,23,13.0
1225,10,20.0
1227,22,9.1
1229,45,17.8
1301,196,31.1
1303,185,27.0
1304,122,35.2
1305,61,27.9
1307,50,14.0
1308,69,21.7
1309,56,35.7
1310,55,29.1
1312,123,30.1
1313,103,18.4
1314,199,30.2
1316,113,26.5
1319,94,16.0
1326,193,26.9
1402,184,20.7
1409,134,24.6
1434,93,11.8
1440,53,9.4
1442,41,4.9
1444,27,29.6
1446,11,27.3
1447,21,38.1
1449,15,33.3
1455,14,28.6
1460,5,20.0
1463,5,20.0
1464,25,24.0
1466,5,20.0
1476,23,0.0
1477,66,18.2
1503,55,25.5
1504,166,20.5
1513,137,21.9
1514,92,25.0
1515,8,37.5
1519,77,39.0
1522,43,32.6
1524,40,30.0
1528,83,32.5
1529,12,41.7
1532,20,20.0
1536,77,24.7
1540,15,40.0
1560,67,16.4
1563,9,22.2
1569,56,32.1
1582,33,21.2
1584,40,32.5
1587,5,20.0
1589,9,33.3
1590,10,0.0
1595,8,25.0
1597,27,22.2
1603,9,0.0
1605,181,26.5
1608,110,25.5
1609,173,27.7
1611,7,0.0
1612,53,24.5
1616,37,27.0
1618,43,25.6
1708,80,15.0
1709,32,18.8
1710,61,24.6
1711,119,24.4
1712,10,20.0
1714,78,17.9
1717,118,31.4
1718,126,30.2
1721,46,32.6
1722,89,19.1
1723,7,0.0
1727,59,28.8
1736,6,0.0
1773,15,13.3
1785,156,19.2
1795,66,19.7
1802,161,31.7
1806,20,20.0
1808,56,12.5
1809,41,34.1
1810,41,24.4
1815,127,34.6
1904,64,10.9
1905,66,18.2
1907,38,2.6
1909,76,10.5
2002,188,26.1
2006,101,5.9
2009,72,22.2
2010,56,12.5
2014,153,24.8
2015,12,0.0
2017,8,12.5
2020,5,20.0
2022,7,14.3
2023,75,16.0
2027,218,22.5
2030,21,14.3
2031,30,10.0
2032,7,14.3
2034,59,22.0
2049,107,18.7
2059,5,0.0
2062,15,20.0
2070,5,20.0
2101,87,17.2
2103,73,19.2
2104,73,26.0
2105,146,21.2
