source,title,url,published,query,sentiment,score,impact,tickers,reason
Google News,AI算力戰再升溫！「這檔」半導體ETF狂飆324% 5檔績效全翻倍 - FTNN 新聞網,https://news.google.com/rss/articles/CBMiS0FVX3lxTE1QTnBWaWx2YzBFMnUxNm5QNnBVTmowcUxhQ0hOWWE2QXV0TGJCM09tejBQWE5zdEp3ZlJJMlpxMXFzekc2REpET3pKMA?oc=5,2026-09-10 09:40,半導體 台股,positive,0.7,high,,半導體ETF狂飆324%反映AI算力投資熱潮，市場信心強勁
Google News,功率半導體漲價潮來了？德微(3675)營收創高、強茂(2481)AI占比翻倍，下一棒看誰？ - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1WT1FEVDFEY0xBTFQwc0tfLUU3dTVhX2FhZTRyOHo4MXMzVllOdHFTUjlSU3ZVTHQtdm5aVkFUTEgyUnZTMmFIUnBqRkxGRkE?oc=5,2026-09-10 09:00,半導體 台股,positive,0.65,medium,"3675,2481",德微營收創高、強茂AI占比翻倍顯示成長動能
Google News,瑞銀喊半導體多頭沒完！記憶體缺貨恐拖到2027年 台積電跟這4台廠被點名 - Yahoo股市,https://news.google.com/rss/articles/CBMiwANBVV95cUxPU1hYRGRFZWxHYTBQTHc3V3o2SlVCREN4NzVLYk1hdC1kS1dMN0pkQ1JkY21fS3dRUV92bHVPekFjVXdFRTFLdDRZMUpLaFZabUYzR3ZwMVJPVFFiQ1BlendZS2JzWUVEVlFDYk5QQXFpT1AzSXlWWEIybncteEdOOW5rV3Z4YWg3Q3MydXdJbHU5VEVhRzdNOV9lNnhwelB0U1I5UVprV1hrU1p5LVZzX21yR1pWZVA1WVJJNW1raUZkOXBITlpjU3g5c1Ryb29lelZrOTJYamgtWjJaZ3JvQUNwYzdYbUwyMTlYdVlFdDZjczBfTTNCYXQwSnZUc2J4TjNWTUtIbTFsbGlLMjV2NkZ4U1dRZlZkNDZTUFozQjJrRFZ0NE9ZcjZmQUk4N0x5MHhvOHRaRUYyaWVvLTVObklveWJWSG0tMmdNVUN1cDQxV0JKbWJobjQ4U1d3UzRrakVUdnIzWUNqUTlJOVF1d1kwWlRyRDRNdXRSeWloNklmZWJtLVZhQUxGdE9JWVh4UXlZQzlLdEZQa29IYmFpZS1tUjRYM0hOWjViS25mWFpxUEVITlM4MzhRdzliQWFZ?oc=5,2026-09-09 04:55,半導體 台股,positive,0.6,high,2330,瑞銀看好半導體多頭，記憶體缺貨支撐價格至2027年
Google News,AGI概念ETF 有機會放閃 - UDN,https://news.google.com/rss/articles/CBMiU0FVX3lxTE5LM3RRYmE4ZWJqcnVyME1tXzZ4MW1JTUJib3hYdmRzV3VxbFNnLWxzc1prdk1VdnhTcHZoM1ZVcjRpcUoxdVNja2dqY1U0ZzFJOF9r0gFYQVVfeXFMTmRPYzM0OHNTamk2Nm5kX2VfMndzUmNmVGFhb2lfMXRQSkk1YVduZGFKcmozNUdHWDFvUWdUY2tBaHJGNUxWcXc4STlaVUhIMjl2bVFHVmRWNg?oc=5,2026-09-09 15:30,半導體 台股,positive,0.4,medium,,AGI概念ETF被看好有投資機會
Google News,川普再喊台灣晶片課200%重稅！半導體供應鏈掀「美國製造」遷徙潮 台積電、環球晶領軍赴美 - 台灣好新聞,https://news.google.com/rss/articles/CBMirgRBVV95cUxPSkFab3Jic3JYUUZLREY5UjFCTGRreWRDbTZJSDlGaDlJcVlPVWJjTEpRdFhwRjhDSmZXS05iNGpnaDRYUGp0MmpZNzgxQTFwcXk0aUxoT1RRQXpla0EtVXVHNzV6LUtiZ3dReEhOM0NBNGVNbEd4QUotODNrUXAwak9iTDhkS0hKYVJnZzVIdUNzZUhjc1A4Y2hfNEpNcjRWdXRDS0tITGp1R25HQXdTN2JRUTZNcUREc09vcGV3dkN5bFdtM0hKM0FvTGtXMjI5YVFxNXYta2RCcE0wQVB2TjFLQjNqaUJXWEFaTUtEeWNmSGFLVVVCdUItZXJzNUdJamJIV0MzOUxMTXdZSF9zb0xpbHBaMExiRE1jQUFrbzNKdFNTUnJIUi1sVkh5Q3hKQzNrdGlrcEhFVzNwTm5EOUxZaks4NFdkbmRfTjczMWlJSjUtS0Y5SXozX0NPS2xLMmdJWDJFSGt6YTNNeEFXOGJfQ21yZi1tN2lGam4teEg2TjBRYXdUaDczb0k1QXRzLU15ZmVENHB2STlsaXZuYUw0SkxzUDVaR29XT2c2S3BoUVMyMUdqeWlCOEIyM003VFJUOTJDX3VFU2FzTzRGVGplVlI5dDhIeFlrbjg3X3o3YWllWGRVa0dtXzVWU1N5YzNKemtzcjNGNUN5Qm9nd3h0UmdNdFJ2V3pjWmN5REJJWlZjUUI4MjRYeW11NlAyVFZYeVN4alJjRVNwT2c?oc=5,2026-09-10 10:31,半導體 台股,negative,-0.4,high,"2330,6285",川普200%重稅威脅惟半導體供應鏈遷移創新商機
Google News,打包最強科技財！台日半導體ETF「3檔」 掌握AI供應鏈錢潮 - 三立新聞,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5IN2NRdDZfZjRZc0xwQ0VRSEFmc0xQUG5QNERvNEhOSFpQVDc4NWhjVlJPeWwzZnpWTUJ2RVZqYVFRbUFaR1JfWjVoTQ?oc=5,2026-09-09 01:38,半導體 台股,positive,0.5,medium,,推薦半導體ETF掌握AI供應鏈投資機會
Google News,台指期夜盤跌194點！法人：台股恐面臨「47000點保衛戰」 - TVBS新聞網,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9xbmRhU2pCMThVTWVzVkhsTE9nMVRJNFNmb2d1SWJUVUhqR1JLYWdtR1kxcUYwZDJBMkFaSWlFX1M2WWJZZFVNQ2lDaWlsQmM?oc=5,2026-09-10 00:50,半導體 台股,negative,-0.55,high,,台指期下跌194點，面臨47000點關鍵支撐考驗
Google News,台股AGI題材火紅 半導體ETF績效開跑 - PChome Online 股市,https://news.google.com/rss/articles/CBMigwFBVV95cUxOYVBLQXJzcmhySnIteXVfenhVWDhfWEJvUC1remk3UUZXN1dlODl3LXpHR3kzS1NQWWRCTUdlWF9fVmpTYkt4ZUxTWGhNclBpTjF4T0c1Y1FCZk9OdFRxcnExTGdHSGtNTG9jTWVPWm9VYk5jRFRzaTVWTTN0Z01QMVQ2UQ?oc=5,2026-09-08 18:13,半導體 台股,positive,0.55,medium,,AGI題材火紅帶動半導體ETF績效開跑
Google News,瑞霸半導體設備接單報捷 搶先進封裝商機 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTE52bVVtU3ZjYUxGaTk3ZXVfRGk5TzQ1ck04X2tnZG1GSzA4MHdneUNieUNINVEyLUtGenBaY3ZFeXJ6eWNLUDhBd2drVXBKM3M?oc=5,2026-09-10 10:19,半導體 台股,positive,0.6,medium,,瑞霸半導體設備接單報捷搶進先進封裝商機
Google News,VAMAS國際研討會首度來臺 工研院推半導體量測標準接軌國際 - news.cnyes.com,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9McW9CczNGdEcyT0hDWmU0Tmpqbng4Q1B4aUtYS01zMXRENm9jMVJvNWRnTlhYS0xoSHBHaTJKdE84T1k1M2l3dEo4U1J0OUU?oc=5,2026-09-10 07:41,半導體 台股,neutral,0.15,low,,工研院推半導體量測標準屬例行技術活動
