group,kind,ym,yoy_med,n
ABF載板,族群,2025-12,26.9,3
ABF載板,族群,2026-01,45.0,3
ABF載板,族群,2026-02,12.8,3
ABF載板,族群,2026-03,25.0,3
ABF載板,族群,2026-04,27.6,3
ABF載板,族群,2026-05,33.0,3
ABF載板,族群,2026-06,36.3,3
ABF載板,族群,2026-07,43.7,3
AI伺服器,族群,2025-12,83.4,6
AI伺服器,族群,2026-01,70.9,6
AI伺服器,族群,2026-02,45.3,6
AI伺服器,族群,2026-03,60.2,6
AI伺服器,族群,2026-04,59.7,6
AI伺服器,族群,2026-05,28.7,6
AI伺服器,族群,2026-06,54.7,6
AI伺服器,族群,2026-07,56.9,6
IC設計,族群,2025-12,9.5,4
IC設計,族群,2026-01,3.1,4
IC設計,族群,2026-02,-11.5,4
IC設計,族群,2026-03,8.7,4
IC設計,族群,2026-04,6.2,4
IC設計,族群,2026-05,15.6,4
IC設計,族群,2026-06,19.8,4
IC設計,族群,2026-07,29.7,4
PCB,族群,2025-12,41.1,4
PCB,族群,2026-01,62.0,4
PCB,族群,2026-02,36.1,4
PCB,族群,2026-03,59.9,4
PCB,族群,2026-04,76.0,4
PCB,族群,2026-05,101.0,4
PCB,族群,2026-06,93.0,4
PCB,族群,2026-07,99.4,4
光學鏡頭,族群,2025-12,-0.3,3
光學鏡頭,族群,2026-01,23.4,3
光學鏡頭,族群,2026-02,5.1,3
光學鏡頭,族群,2026-03,12.3,3
光學鏡頭,族群,2026-04,24.5,3
光學鏡頭,族群,2026-05,30.2,3
光學鏡頭,族群,2026-06,4.5,3
光學鏡頭,族群,2026-07,1.6,3
光通訊CPO,族群,2025-12,19.7,9
光通訊CPO,族群,2026-01,26.8,9
光通訊CPO,族群,2026-02,7.3,9
光通訊CPO,族群,2026-03,20.2,9
光通訊CPO,族群,2026-04,12.2,9
光通訊CPO,族群,2026-05,38.5,9
光通訊CPO,族群,2026-06,29.7,9
光通訊CPO,族群,2026-07,51.6,9
光電業,產業,2025-12,-0.8,112
光電業,產業,2026-01,11.0,112
光電業,產業,2026-02,-11.3,112
光電業,產業,2026-03,-0.9,112
光電業,產業,2026-04,2.2,112
光電業,產業,2026-05,4.2,112
光電業,產業,2026-06,8.8,112
光電業,產業,2026-07,10.0,112
其他業,產業,2025-12,0.9,79
其他業,產業,2026-01,8.7,79
其他業,產業,2026-02,-7.8,79
其他業,產業,2026-03,3.5,79
其他業,產業,2026-04,6.5,79
其他業,產業,2026-05,4.1,79
其他業,產業,2026-06,11.7,79
其他業,產業,2026-07,4.1,79
其他電子業,產業,2025-12,9.3,90
其他電子業,產業,2026-01,19.5,90
其他電子業,產業,2026-02,-0.6,90
其他電子業,產業,2026-03,6.7,90
其他電子業,產業,2026-04,14.1,90
其他電子業,產業,2026-05,16.3,90
其他電子業,產業,2026-06,25.1,90
其他電子業,產業,2026-07,23.9,90
功率半導體,族群,2025-12,5.6,4
功率半導體,族群,2026-01,7.6,4
功率半導體,族群,2026-02,-2.2,4
功率半導體,族群,2026-03,10.9,4
功率半導體,族群,2026-04,7.0,4
功率半導體,族群,2026-05,7.9,4
功率半導體,族群,2026-06,18.8,4
功率半導體,族群,2026-07,17.2,4
化學工業,產業,2025-12,-4.8,41
化學工業,產業,2026-01,17.0,41
化學工業,產業,2026-02,-16.1,41
化學工業,產業,2026-03,17.1,41
化學工業,產業,2026-04,13.8,41
化學工業,產業,2026-05,9.4,41
化學工業,產業,2026-06,12.8,41
化學工業,產業,2026-07,22.4,41
半導體業,產業,2025-12,10.8,194
半導體業,產業,2026-01,17.2,194
半導體業,產業,2026-02,2.4,194
半導體業,產業,2026-03,15.5,194
半導體業,產業,2026-04,14.4,194
半導體業,產業,2026-05,19.3,194
半導體業,產業,2026-06,24.4,194
半導體業,產業,2026-07,30.4,194
半導體設備,族群,2025-12,21.5,6
半導體設備,族群,2026-01,18.0,6
半導體設備,族群,2026-02,13.3,6
半導體設備,族群,2026-03,23.4,6
半導體設備,族群,2026-04,19.5,6
半導體設備,族群,2026-05,22.7,6
半導體設備,族群,2026-06,24.0,6
半導體設備,族群,2026-07,42.5,6
塑膠工業,產業,2025-12,-11.2,22
塑膠工業,產業,2026-01,2.6,22
塑膠工業,產業,2026-02,-30.4,22
塑膠工業,產業,2026-03,5.9,22
塑膠工業,產業,2026-04,5.4,22
塑膠工業,產業,2026-05,3.8,22
塑膠工業,產業,2026-06,-6.8,22
塑膠工業,產業,2026-07,3.1,22
封測,族群,2025-12,23.5,6
封測,族群,2026-01,26.8,6
封測,族群,2026-02,22.3,6
封測,族群,2026-03,25.1,6
封測,族群,2026-04,30.0,6
封測,族群,2026-05,29.4,6
封測,族群,2026-06,30.7,6
封測,族群,2026-07,41.2,6
居家生活,產業,2025-12,-7.1,29
居家生活,產業,2026-01,1.0,29
居家生活,產業,2026-02,11.2,29
居家生活,產業,2026-03,3.4,29
居家生活,產業,2026-04,6.0,29
居家生活,產業,2026-05,7.9,29
居家生活,產業,2026-06,11.7,29
居家生活,產業,2026-07,9.7,29
建材營造業,產業,2025-12,5.8,85
建材營造業,產業,2026-01,6.3,85
建材營造業,產業,2026-02,-4.5,85
建材營造業,產業,2026-03,16.5,85
建材營造業,產業,2026-04,4.1,85
建材營造業,產業,2026-05,22.0,85
建材營造業,產業,2026-06,3.2,85
建材營造業,產業,2026-07,5.4,85
散熱,族群,2025-12,30.1,5
散熱,族群,2026-01,36.5,5
散熱,族群,2026-02,2.3,5
散熱,族群,2026-03,22.5,5
散熱,族群,2026-04,26.9,5
散熱,族群,2026-05,37.7,5
散熱,族群,2026-06,57.6,5
散熱,族群,2026-07,57.4,5
散裝航運,族群,2025-12,14.1,4
散裝航運,族群,2026-01,2.8,4
散裝航運,族群,2026-02,11.3,4
散裝航運,族群,2026-03,14.8,4
散裝航運,族群,2026-04,9.1,4
散裝航運,族群,2026-05,24.5,4
散裝航運,族群,2026-06,36.4,4
散裝航運,族群,2026-07,30.2,4
數位雲端,產業,2025-12,5.5,36
數位雲端,產業,2026-01,15.7,36
數位雲端,產業,2026-02,1.2,36
數位雲端,產業,2026-03,10.6,36
數位雲端,產業,2026-04,9.8,36
數位雲端,產業,2026-05,10.2,36
數位雲端,產業,2026-06,14.3,36
數位雲端,產業,2026-07,12.9,36
文化創意業,產業,2025-12,-6.6,26
文化創意業,產業,2026-01,-0.2,26
文化創意業,產業,2026-02,9.7,26
文化創意業,產業,2026-03,3.4,26
文化創意業,產業,2026-04,3.5,26
文化創意業,產業,2026-05,15.4,26
文化創意業,產業,2026-06,0.0,26
文化創意業,產業,2026-07,5.2,26
晶圓代工,族群,2025-12,17.5,4
晶圓代工,族群,2026-01,22.3,4
晶圓代工,族群,2026-02,9.2,4
晶圓代工,族群,2026-03,17.8,4
晶圓代工,族群,2026-04,14.1,4
晶圓代工,族群,2026-05,24.8,4
晶圓代工,族群,2026-06,50.7,4
晶圓代工,族群,2026-07,37.5,4
機器人自動化,族群,2025-12,17.9,3
機器人自動化,族群,2026-01,13.1,3
機器人自動化,族群,2026-02,-3.0,3
機器人自動化,族群,2026-03,17.4,3
機器人自動化,族群,2026-04,20.7,3
機器人自動化,族群,2026-05,51.4,3
機器人自動化,族群,2026-06,35.6,3
機器人自動化,族群,2026-07,36.3,3
橡膠工業,產業,2025-12,-12.4,11
橡膠工業,產業,2026-01,0.7,11
橡膠工業,產業,2026-02,-19.2,11
橡膠工業,產業,2026-03,4.2,11
橡膠工業,產業,2026-04,7.4,11
橡膠工業,產業,2026-05,3.9,11
橡膠工業,產業,2026-06,11.6,11
橡膠工業,產業,2026-07,18.2,11
水泥工業,產業,2025-12,-9.3,7
水泥工業,產業,2026-01,0.3,7
水泥工業,產業,2026-02,-16.5,7
水泥工業,產業,2026-03,-17.3,7
水泥工業,產業,2026-04,-10.2,7
水泥工業,產業,2026-05,-7.5,7
水泥工業,產業,2026-06,-7.5,7
水泥工業,產業,2026-07,-3.8,7
汽車工業,產業,2025-12,-6.4,33
汽車工業,產業,2026-01,-0.3,33
汽車工業,產業,2026-02,-13.9,33
汽車工業,產業,2026-03,-7.7,33
汽車工業,產業,2026-04,2.9,33
汽車工業,產業,2026-05,5.6,33
汽車工業,產業,2026-06,4.1,33
汽車工業,產業,2026-07,4.1,33
油電燃氣業,產業,2025-12,-3.0,12
油電燃氣業,產業,2026-01,7.6,12
油電燃氣業,產業,2026-02,-13.1,12
油電燃氣業,產業,2026-03,0.6,12
