日期,code,名稱,類型,方向,目標價,EPS預估,幅度%,newsId
2026-09-21,4749,新應材,目標價,↓,950.0,,6.63,6611572
2026-09-21,2458,義隆,目標價,↓,160.0,,8.05,6611573
2026-09-21,3661,世芯-KY,EPS,↑,6000.0,139.83,,6611574
2026-09-21,2379,瑞昱,EPS,↑,750.0,31.91,,6611575
2026-09-21,2324,仁寶,EPS,↑,40.65,2.27,,6611834
2026-09-18,4958,臻鼎-KY,EPS,↑,692.5,13.93,,6609960
2026-09-18,2408,南亞科,EPS,↑,637.5,66.98,,6610540
2026-09-18,3017,奇鋐,EPS,↑,4000.0,104.03,,6609654
2026-09-18,8046,南電,EPS,↑,1600.0,17.61,,6609959
2026-09-18,2345,智邦,EPS,↓,3500.0,86.43,,6610539
2026-09-18,2376,技嘉,EPS,↑,495.0,34.36,,6609961
2026-09-18,2408,南亞科,目標價,↑,637.5,,3.24,6610538
2026-09-17,2327,國巨,EPS,↓,1040.0,19.73,,6609352
2026-09-17,2458,義隆,目標價,↓,174.0,,3.33,6608911
2026-09-17,6782,視陽,EPS,↑,251.5,18.14,,6608652
2026-09-16,3036,文曄,EPS,↑,300.0,26.81,,6608017
2026-09-16,3596,智易,目標價,↓,220.0,,4.35,6608016
2026-09-16,2351,順德,目標價,↑,282.5,,8.65,6608015
2026-09-16,2458,義隆,EPS,↓,180.0,9.03,,6607712
2026-09-16,2327,國巨,EPS,↓,1125.0,19.83,,6607543
2026-09-16,3036,文曄,EPS,↓,300.0,25.8,,6607542
2026-09-16,2455,全新,目標價,↑,512.5,,7.33,6607541
2026-09-16,3044,健鼎,EPS,↑,700.0,32.27,,6608300
2026-09-15,2637,慧洋-KY,目標價,↑,104.0,,8.33,6607305
2026-09-15,2637,慧洋-KY,EPS,↑,104.0,9.52,,6607307
2026-09-15,8046,南電,EPS,↑,1600.0,17.25,,6606462
2026-09-15,6147,頎邦,目標價,↑,260.0,,4.0,6606459
2026-09-15,2395,研華,EPS,↑,742.5,20.27,,6606461
2026-09-15,3324,雙鴻,EPS,↑,1353.0,56.93,,6606868
2026-09-14,9914,美利達,EPS,↓,95.0,4.85,,6605554
2026-09-14,2368,金像電,EPS,↑,1620.0,41.57,,6606173
2026-09-14,6472,保瑞,EPS,↓,493.5,16.53,,6605357
2026-09-14,5274,信驊,EPS,↑,22500.0,197.49,,6605359
2026-09-14,5274,信驊,EPS,↑,23000.0,200.9,,6606172
2026-09-14,2376,技嘉,EPS,↑,490.0,33.82,,6605556
2026-09-14,3653,健策,EPS,↑,6747.5,67.31,,6605555
2026-09-14,3711,日月光投控,EPS,↑,700.0,18.68,,6605358
2026-09-14,2408,南亞科,EPS,↑,617.5,62.92,,6605360
2026-09-11,6446,藥華藥,EPS,↓,1502.92,25.68,,6604899
2026-09-11,8069,元太,EPS,↓,217.0,11.42,,6604897
2026-09-11,2345,智邦,EPS,↓,3500.0,87.47,,6604896
2026-09-11,6805,富世達,EPS,↑,2650.0,62.42,,6604806
2026-09-11,3413,京鼎,目標價,↓,360.0,,5.26,6604605
2026-09-11,1560,中砂,EPS,↑,860.0,14.95,,6604228
2026-09-11,2884,玉山金,EPS,↓,38.8,2.53,,6604898
