wcode,kind,uname,ucode
03001T,put,啟碁,6285
03002T,put,台積電,2330
03003T,put,聯發科,2454
03006X,call,富邦金,2881
030079,call,南亞,1303
03007T,put,元大台灣50,0050
03007X,call,中信金,2891
030088,call,玉晶光,3406
030090,call,達興材料,5234
030092,call,訊芯-KY,6451
030095,call,南電,8046
03009T,put,聯發科,2454
03010T,put,台化,1326
03010X,call,鴻海,2317
03011T,put,台積電,2330
030129,call,欣興,3037
03012T,put,聯發科,2454
03012X,call,國泰金,2882
030135,call,飛捷,6206
03013T,put,大立光,3008
03013X,call,台新新光金,2887
03014X,call,第一金,2892
03015X,call,玉山金,2884
030169,call,元大台灣50,0050
03016X,call,凱基金,2883
030174,call,鴻海,2317
03017T,put,毅嘉,2402
03017X,call,永豐金,2890
03018T,put,玉晶光,3406
03019T,put,元大台灣50,0050
03019X,call,合庫金,5880
03020T,put,元大台灣50,0050
03020X,call,彰銀,2801
03021T,put,華泰,2329
03022T,put,大立光,3008
03022X,call,鴻海,2317
030239,call,南亞,1303
03023T,put,眾達-KY,4977
030240,call,南亞,1303
030241,call,南亞,1303
030242,call,台化,1326
030243,call,台化,1326
030244,call,台玻,1802
030245,call,台玻,1802
030246,call,宇隆,2233
030248,call,TPK-KY,3673
030250,call,同欣電,6271
030251,call,AES-KY,6781
030256,call,國喬,1312
030264,call,國巨*,2327
03026X,call,元大寶滬深,0061
030276,call,同欣電,6271
03027T,put,華邦電,2344
03028T,put,南亞科,2408
03029X,call,大聯大,3702
03030T,put,元大台灣50,0050
03031T,put,元大台灣50,0050
03032T,put,國巨*,2327
030344,call,南電,8046
03035T,put,台積電,2330
03035X,call,遠東新,1402
03036T,put,華邦電,2344
03037T,put,南亞科,2408
030388,call,南電,8046
03038T,put,群創,3481
03038X,call,和碩,4938
03039X,call,華碩,2357
03040T,put,力積電,6770
030412,call,元大台灣50,0050
03041T,put,聯發科,2454
03042T,put,群創,3481
03045T,put,鴻海,2317
03046T,put,台積電,2330
03047T,put,元大台灣50,0050
03047X,call,華新,1605
030481,call,奇鋐,3017
03048T,put,元大台灣50,0050
030499,call,台光電,2383
03049T,put,元大台灣50,0050
03049X,call,宏全,9939
03050X,call,潤泰新,9945
030549,call,亞泥,1102
030551,call,台塑,1301
030552,call,台塑,1301
030553,call,三芳,1307
030554,call,台化,1326
030555,call,台化,1326
030557,call,華城,1519
030562,call,台玻,1802
030564,call,大成鋼,2027
030567,call,川湖,2059
030569,call,光寶科,2301
030570,call,華通,2313
030571,call,華通,2313
030573,call,台積電,2330
030574,call,智邦,2345
030575,call,智邦,2345
030576,call,智邦,2345
030578,call,金像電,2368
030579,call,台光電,2383
03057T,put,台積電,2330
030580,call,台光電,2383
030581,call,南亞科,2408
030582,call,鉅祥,2476
030586,call,漢翔,2634
030587,call,長榮航太,2645
030589,call,文曄,3036
030590,call,欣興,3037
030591,call,緯創,3231
030592,call,緯創,3231
030593,call,玉晶光,3406
030594,call,健策,3653
030595,call,健策,3653
030596,call,貿聯-KY,3665
030597,call,TPK-KY,3673
030599,call,南寶,4766
030600,call,致伸,4915
030601,call,臻鼎-KY,4958
030603,call,聯茂,6213
030604,call,同欣電,6271
030605,call,台塑化,6505
030606,call,台塑化,6505
030607,call,愛普*,6531
030608,call,緯穎,6669
030609,call,緯穎,6669
030611,call,AES-KY,6781
030612,call,南電,8046
030613,call,億豐,8464
030679,call,景碩,3189
03068T,put,台積電,2330
03069T,put,台積電,2330
03070T,put,華邦電,2344
03071T,put,聯發科,2454
03072T,put,聯發科,2454
03073T,put,力積電,6770
03074T,put,台積電,2330
03074X,call,台新新光金,2887
03075T,put,群創,3481
030769,call,台達電,2308
03076T,put,緯穎,6669
030771,call,元大台灣50,0050
03077T,put,台積電,2330
030791,call,光寶科,2301
030793,call,鴻海,2317
03079T,put,元大台灣50,0050
03080T,put,台積電,2330
03081T,put,南亞科,2408
030827,call,大成鋼,2027
03082T,put,聯發科,2454
03083T,put,聯發科,2454
03086T,put,燿華,2367
030887,call,台塑,1301
030888,call,元大台灣50,0050
03088T,put,元大台灣50,0050
03089T,put,台玻,1802
030903,call,智邦,2345
030904,call,智邦,2345
03090T,put,燿華,2367
03092T,put,毅嘉,2402
030931,call,嘉澤,3533
03093X,call,永豐金,2890
03094T,put,台玻,1802
03095T,put,京元電子,2449
030967,call,鴻海,2317
03096T,put,玉晶光,3406
03097T,put,威盛,2388
03098T,put,威盛,2388
030996,call,大成鋼,2027
03099T,put,南亞科,2408
031000,call,楠梓電,2316
031019,call,欣興,3037
03101T,put,聯發科,2454
031026,call,材料*-KY,4763
03102T,put,元大台灣50,0050
031030,call,亞翔,6139
03103T,put,元大台灣50,0050
03104T,put,台玻,1802
03105T,put,台積電,2330
03106T,put,聯發科,2454
03107T,put,玉晶光,3406
03108T,put,華邦電,2344
03109T,put,聯發科,2454
03110T,put,緯穎,6669
031116,call,奇鋐,3017
03111T,put,緯穎,6669
031123,call,緯穎,6669
03113T,put,南亞科,2408
03114T,put,元大台灣50,0050
03115T,put,元大台灣50,0050
031189,call,中興電,1513
03119T,put,南亞科,2408
031207,call,德律,3030
03120T,put,元大台灣50,0050
03122T,put,聯發科,2454
031254,call,材料*-KY,4763
031256,call,亞翔,6139
03125T,put,台積電,2330
031261,call,富世達,6805
031266,call,台塑,1301
031267,call,和大,1536
031268,call,川湖,2059
031269,call,川湖,2059
03126T,put,聯發科,2454
031272,call,台達電,2308
031273,call,鴻海,2317
031274,call,鴻海,2317
031275,call,廣宇,2328
031277,call,致茂,2360
031278,call,致茂,2360
03127T,put,國巨*,2327
031280,call,金像電,2368
031281,call,大同,2371
031283,call,群光,2385
031286,call,建準,2421
031288,call,長榮航太,2645
031289,call,長榮航太,2645
03128T,put,聯發科,2454
031291,call,奇鋐,3017
031292,call,奇鋐,3017
031294,call,亞光,3019
