date,ucode,動向
2026-09-22,0050,🔵 佈局中
2026-09-22,1301,
2026-09-22,1303,🔵 佈局中
2026-09-22,1326,
2026-09-22,1503,
2026-09-22,1513,⚫ 退潮
2026-09-22,1519,
2026-09-22,1560,🔥 近5日湧入
2026-09-22,1605,
2026-09-22,1717,
2026-09-22,1795,🌫️ 降溫
2026-09-22,1802,
2026-09-22,2027,
2026-09-22,2049,
2026-09-22,2059,
2026-09-22,2301,
2026-09-22,2303,🔵 佈局中
2026-09-22,2308,🔵 佈局中
2026-09-22,2312,
2026-09-22,2313,
2026-09-22,2316,
2026-09-22,2317,
2026-09-22,2324,
2026-09-22,2327,🔵 佈局中
2026-09-22,2329,🌫️ 降溫
2026-09-22,2330,
2026-09-22,2337,
2026-09-22,2344,
2026-09-22,2345,
2026-09-22,2351,🔵 佈局中
2026-09-22,2354,
2026-09-22,2356,
2026-09-22,2357,
2026-09-22,2359,
2026-09-22,2360,
2026-09-22,2363,🌫️ 降溫
2026-09-22,2367,⚫ 退潮
2026-09-22,2368,🔵 佈局中
2026-09-22,2369,🌫️ 降溫
2026-09-22,2374,⚫ 退潮
2026-09-22,2376,
2026-09-22,2377,
2026-09-22,2379,
2026-09-22,2383,⚫ 退潮
2026-09-22,2395,🔵 佈局中
2026-09-22,2404,
2026-09-22,2408,🔵 佈局中
2026-09-22,2409,🔵 佈局中
2026-09-22,2421,
2026-09-22,2441,🔥 近5日湧入
2026-09-22,2449,🔥 近5日湧入
2026-09-22,2451,
2026-09-22,2454,🔵 佈局中
2026-09-22,2464,🔵 佈局中
2026-09-22,2467,
2026-09-22,2472,
2026-09-22,2476,
2026-09-22,2481,🔵 佈局中
2026-09-22,2492,
2026-09-22,2493,
2026-09-22,2498,🌫️ 降溫
2026-09-22,2603,
2026-09-22,2609,
2026-09-22,2615,🔵 佈局中
2026-09-22,2634,
2026-09-22,3006,
2026-09-22,3008,🔵 佈局中
2026-09-22,3017,🔵 佈局中
2026-09-22,3019,
2026-09-22,3030,⚫ 退潮
2026-09-22,3034,
2026-09-22,3035,🔥 近5日湧入
2026-09-22,3036,
2026-09-22,3037,🌫️ 降溫
2026-09-22,3042,🔵 佈局中
2026-09-22,3044,
2026-09-22,3090,
2026-09-22,3189,🔥 近5日湧入
2026-09-22,3231,🔵 佈局中
2026-09-22,3266,
2026-09-22,3305,⚫ 退潮
2026-09-22,3376,
2026-09-22,3406,🔵 佈局中
2026-09-22,3413,🌫️ 降溫
2026-09-22,3443,🌫️ 降溫
2026-09-22,3450,🌫️ 降溫
2026-09-22,3481,
2026-09-22,3533,
2026-09-22,3563,🌫️ 降溫
2026-09-22,3583,
2026-09-22,3605,🔥 近5日湧入
2026-09-22,3653,
2026-09-22,3661,🔵 佈局中
2026-09-22,3665,
2026-09-22,3706,
2026-09-22,3711,🔵 佈局中
2026-09-22,3715,
2026-09-22,4576,🔵 佈局中
2026-09-22,4958,🔵 佈局中
2026-09-22,4967,
2026-09-22,4977,
2026-09-22,5269,🔥 近5日湧入
2026-09-22,6139,🌫️ 降溫
2026-09-22,6191,🌫️ 降溫
2026-09-22,6196,
2026-09-22,6197,
2026-09-22,6213,
2026-09-22,6239,
2026-09-22,6257,🔥 近5日湧入
2026-09-22,6271,
2026-09-22,6282,⚫ 退潮
2026-09-22,6285,
2026-09-22,6409,
2026-09-22,6414,
2026-09-22,6415,
2026-09-22,6442,🔵 佈局中
2026-09-22,6472,
2026-09-22,6505,🔵 佈局中
2026-09-22,6531,🔵 佈局中
2026-09-22,6669,
2026-09-22,6672,
2026-09-22,6706,🔥 近5日湧入
2026-09-22,6770,
2026-09-22,6781,
2026-09-22,6789,
2026-09-22,6805,
2026-09-22,8028,🔥 近5日湧入
2026-09-22,8039,
2026-09-22,8046,🔥 近5日湧入
2026-09-22,8112,⚫ 退潮
2026-09-22,8150,
2026-09-22,8210,⚫ 退潮
2026-09-22,8261,
2026-09-22,8271,
