date,ucode,call_val,put_val,call_vol
2026-06-03,0050,45.77,5.04,12881.0
2026-06-03,0052,9.75,0.0,4920.0
2026-06-03,0056,0.89,0.0,418.0
2026-06-03,1101,1.78,0.0,2216.0
2026-06-03,1215,0.36,0.0,746.0
2026-06-03,1216,0.77,0.0,1408.0
2026-06-03,1301,19.73,0.04,16884.0
2026-06-03,1303,40.2,0.16,21816.0
2026-06-03,1304,4.51,0.0,3601.0
2026-06-03,1305,0.42,0.0,533.0
2026-06-03,1307,0.33,0.0,493.0
2026-06-03,1308,0.52,0.0,1336.0
2026-06-03,1309,1.22,0.0,2374.0
2026-06-03,1312,1.42,0.0,1388.0
2026-06-03,1313,0.38,0.0,619.0
2026-06-03,1319,5.94,0.0,5797.0
2026-06-03,1326,21.96,0.02,13759.0
2026-06-03,1402,3.63,0.0,4030.0
2026-06-03,1409,1.16,0.0,128.0
2026-06-03,1476,3.41,0.0,3471.0
2026-06-03,1477,7.42,0.0,8457.0
2026-06-03,1503,17.11,0.0,21039.0
2026-06-03,1504,30.86,0.0,34475.0
2026-06-03,1513,28.97,0.01,27194.0
2026-06-03,1514,16.85,0.01,23514.0
2026-06-03,1519,44.01,0.2,49312.0
2026-06-03,1522,0.07,0.0,384.0
2026-06-03,1536,0.14,0.0,319.0
2026-06-03,1560,12.08,0.09,7269.0
2026-06-03,1582,2.94,0.0,3298.0
2026-06-03,1590,6.82,0.0,9272.0
2026-06-03,1597,1.47,0.0,1444.0
2026-06-03,1605,36.2,0.0,24869.0
2026-06-03,1608,1.89,0.0,2714.0
2026-06-03,1609,4.31,0.02,7417.0
2026-06-03,1612,1.25,0.0,1537.0
2026-06-03,1618,1.5,0.0,1294.0
2026-06-03,1708,4.17,0.0,3748.0
2026-06-03,1710,1.96,0.0,2038.0
2026-06-03,1711,2.17,0.0,962.0
2026-06-03,1714,2.62,0.0,2235.0
2026-06-03,1717,15.17,0.04,12328.0
2026-06-03,1718,0.13,0.0,65.0
2026-06-03,1723,0.73,0.0,1067.0
2026-06-03,1773,0.72,0.0,592.0
2026-06-03,1795,5.18,0.0,8452.0
2026-06-03,1802,19.24,0.25,16387.0
2026-06-03,1905,0.47,0.0,530.0
2026-06-03,2002,6.21,0.0,9502.0
2026-06-03,2009,1.78,0.0,3548.0
2026-06-03,2027,18.88,0.0,13368.0
2026-06-03,2034,0.2,0.0,285.0
2026-06-03,2049,11.93,0.55,7297.0
2026-06-03,2059,24.34,0.2,15300.0
2026-06-03,2103,10.2,0.0,6918.0
2026-06-03,2104,0.25,0.0,615.0
2026-06-03,2105,1.74,0.0,1640.0
2026-06-03,2201,0.22,0.0,772.0
2026-06-03,2211,0.07,0.0,113.0
2026-06-03,2231,0.58,0.0,789.0
2026-06-03,2233,5.76,0.0,4310.0
2026-06-03,2301,45.86,0.34,23957.0
2026-06-03,2303,66.0,2.18,42664.0
2026-06-03,2308,32.76,0.14,12671.0
2026-06-03,2312,31.88,0.04,17288.0
2026-06-03,2313,21.09,1.34,15754.0
2026-06-03,2316,13.26,0.0,11389.0
2026-06-03,2317,201.95,1.14,89349.0
2026-06-03,2323,3.82,0.0,3936.0
2026-06-03,2324,29.54,1.08,10521.0
2026-06-03,2327,39.96,0.53,6366.0
2026-06-03,2328,13.54,0.0,11438.0
2026-06-03,2329,5.54,0.01,7181.0
2026-06-03,2330,169.91,2.84,106595.0
2026-06-03,2331,1.27,0.0,2620.0
2026-06-03,2337,6.29,0.01,694.0
2026-06-03,2338,2.01,0.31,1984.0
2026-06-03,2340,1.45,0.0,1235.0
2026-06-03,2344,85.59,1.09,39419.0
2026-06-03,2345,43.38,1.65,21281.0
2026-06-03,2347,0.68,0.0,432.0
2026-06-03,2348,0.88,0.0,1647.0
2026-06-03,2351,17.85,0.0,16017.0
2026-06-03,2352,0.97,0.0,302.0
2026-06-03,2353,20.75,0.01,8072.0
2026-06-03,2354,16.02,0.0,14747.0
2026-06-03,2355,4.25,0.0,3542.0
2026-06-03,2356,46.36,0.22,16032.0
2026-06-03,2357,24.05,0.0,5614.0
2026-06-03,2359,4.34,0.0,4325.0
2026-06-03,2360,1.45,0.0,392.0
2026-06-03,2362,0.05,0.0,336.0
2026-06-03,2363,6.96,0.14,5559.0
2026-06-03,2365,0.25,0.0,213.0
2026-06-03,2367,6.64,0.09,6218.0
2026-06-03,2368,36.74,0.57,31334.0
2026-06-03,2369,9.64,0.0,9511.0
2026-06-03,2371,11.2,0.0,16275.0
2026-06-03,2374,8.53,0.0,10481.0
2026-06-03,2375,2.55,0.0,1083.0
2026-06-03,2376,91.58,0.0,28047.0
2026-06-03,2377,44.95,0.0,23765.0
2026-06-03,2379,26.9,0.0,14068.0
2026-06-03,2383,4.87,0.1,1048.0
2026-06-03,2385,1.89,0.0,1607.0
2026-06-03,2388,5.9,0.07,5554.0
2026-06-03,2392,0.9,0.0,741.0
2026-06-03,2393,0.44,0.0,422.0
2026-06-03,2395,12.96,0.0,7786.0
2026-06-03,2401,1.11,0.0,698.0
2026-06-03,2402,17.64,0.0,16441.0
2026-06-03,2404,30.64,0.04,31230.0
2026-06-03,2408,141.81,1.54,48497.0
2026-06-03,2409,42.11,0.27,17617.0
2026-06-03,2412,0.4,0.0,292.0
2026-06-03,2419,0.84,0.0,1221.0
2026-06-03,2421,16.63,0.0,25810.0
2026-06-03,2428,3.48,0.0,2127.0
2026-06-03,2436,3.52,0.0,3173.0
2026-06-03,2439,5.16,0.0,4577.0
2026-06-03,2441,5.37,0.0,3758.0
2026-06-03,2449,43.1,0.36,30070.0
2026-06-03,2451,24.05,0.09,12571.0
2026-06-03,2454,48.9,1.46,11250.0
2026-06-03,2455,2.99,0.0,540.0
2026-06-03,2457,1.42,0.0,1598.0
2026-06-03,2458,4.85,0.0,5091.0
2026-06-03,2464,23.95,0.01,9199.0
2026-06-03,2467,1.75,0.0,1064.0
2026-06-03,2472,7.19,0.01,2104.0
2026-06-03,2474,20.15,0.0,8097.0
2026-06-03,2476,11.15,0.0,10261.0
2026-06-03,2478,0.31,0.0,73.0
2026-06-03,2480,0.03,0.0,121.0
2026-06-03,2481,11.32,0.0,6272.0
2026-06-03,2485,3.14,0.03,3192.0
2026-06-03,2486,1.96,0.0,745.0
2026-06-03,2489,0.66,0.0,83.0
2026-06-03,2492,8.26,0.0,1344.0
2026-06-03,2493,10.82,0.0,9218.0
2026-06-03,2495,7.93,0.0,2523.0
2026-06-03,2497,0.01,0.0,67.0
2026-06-03,2498,15.73,0.1,18244.0
2026-06-03,2515,0.07,0.0,642.0
2026-06-03,2520,0.25,0.0,199.0
2026-06-03,2542,0.74,0.0,433.0
2026-06-03,2543,0.15,0.0,576.0
2026-06-03,2548,0.24,0.0,1024.0
2026-06-03,2603,31.85,0.12,24721.0
2026-06-03,2605,5.37,0.01,7202.0
2026-06-03,2606,1.38,0.01,801.0
2026-06-03,2609,6.78,0.29,10748.0
2026-06-03,2610,3.84,0.0,3429.0
2026-06-03,2612,0.1,0.0,103.0
2026-06-03,2615,12.74,0.0,12590.0
2026-06-03,2617,0.05,0.0,102.0
2026-06-03,2618,6.29,0.0,5658.0
2026-06-03,2630,0.01,0.0,16.0
2026-06-03,2633,0.17,0.0,207.0
2026-06-03,2634,0.31,0.0,1029.0
2026-06-03,2637,1.41,0.0,1370.0
2026-06-03,2645,1.14,0.0,2185.0
2026-06-03,2646,0.07,0.0,161.0
2026-06-03,2727,0.27,0.0,320.0
2026-06-03,2731,0.17,0.0,272.0
2026-06-03,2834,0.5,0.0,361.0
2026-06-03,2880,1.92,0.0,1233.0
2026-06-03,2881,5.86,0.0,3144.0
2026-06-03,2882,8.61,0.02,4462.0
2026-06-03,2883,3.91,0.0,2296.0
2026-06-03,2884,2.95,0.0,4409.0
2026-06-03,2885,6.48,0.0,2750.0
2026-06-03,2886,0.84,0.0,870.0
2026-06-03,2887,9.39,0.0,8138.0
2026-06-03,2890,5.22,0.0,7989.0
2026-06-03,2891,13.16,0.0,5875.0
2026-06-03,2892,0.85,0.0,828.0
2026-06-03,3004,0.47,0.0,354.0
2026-06-03,3005,7.24,0.0,10663.0
2026-06-03,3006,43.33,0.12,25719.0
2026-06-03,3008,79.94,0.25,30655.0
2026-06-03,3010,1.58,0.0,2084.0
2026-06-03,3013,12.72,0.0,11713.0
2026-06-03,3014,0.04,0.0,39.0
2026-06-03,3015,0.7,0.0,875.0
2026-06-03,3016,4.38,0.04,2600.0
2026-06-03,3017,127.08,0.48,63132.0
2026-06-03,3019,6.07,0.0,8785.0
2026-06-03,3022,0.34,0.0,323.0
2026-06-03,3023,2.56,0.0,1842.0
2026-06-03,3026,12.86,0.0,1118.0
2026-06-03,3028,2.83,0.0,1693.0
2026-06-03,3029,2.03,0.0,3868.0
2026-06-03,3030,18.85,0.03,12908.0
2026-06-03,3032,0.75,0.0,355.0
2026-06-03,3033,3.81,0.0,1899.0
2026-06-03,3034,21.48,0.0,14486.0
2026-06-03,3035,16.08,0.0,11782.0
2026-06-03,3036,9.97,0.0,8890.0
2026-06-03,3037,4.61,0.15,1071.0
2026-06-03,3042,18.75,0.0,6987.0
2026-06-03,3044,3.8,0.01,3199.0
2026-06-03,3045,0.04,0.0,44.0
2026-06-03,3048,5.43,0.01,3553.0
2026-06-03,3049,0.7,0.0,290.0
2026-06-03,3055,0.13,0.0,75.0
2026-06-03,3056,0.04,0.0,114.0
