[00:00] 讓我們掌聲歡迎我們今天的主講者馬克揚老師來跟大家分享
[00:04] 遊戲改變抓住自己的機會
[00:06] 抓住改變自己的機會
[00:08] 謝謝馬克揚老師
[00:10] 大家好 我是馬克揚
[00:22] 我是一個醫生 也是一個數學家
[00:26] 我這輩子玩過非常多的遊戲
[00:29] 之前當過爐石戰記的職業選手
[00:32] 現在也有玩股票期貨
[00:36] 今天就是跟大家分享一些游戏的技巧
[00:40] 上上次去年底我是讲漏洞玩家
[00:47] 是讲怎么在各种游戏里面发现游戏的漏洞
[00:51] 然后用我在拉斯维加斯的一些游戏来做举例
[00:55] 然后在上一次我讲了一些
[00:57] 跟行为经济学和心理学有关的东西
[01:01] 今天我讲的会是比较技术流的东西
[01:05] 就是难度会在稍微高一些
[01:08] 但是我认为我讲的应该都会是在
[01:11] 大家能够听懂的范围
[01:13] 就是大家会原本不知道这个东西
[01:16] 然后听完之后会觉得
[01:17] 啊今天有学到很多东西
[01:19] 其实学到了蛮厉害的事情
[01:21] 好那就是我是医生
[01:26] 然后高中的时候拿过奥林匹亚金牌
[01:29] 然后现在是专职做投资
[01:31] 然后我去年有四个月在拉斯维加斯
[01:37] 就是做21點的算盤
[01:39] 然後我被拉斯維加斯的所有賭場給封殺
[01:43] 那我們今天呢
[01:44] 我們會先講一個有趣的故事
[01:46] 然後從這個故事裡面
[01:48] 學到一些博弈論的一些基礎的原理
[01:53] 應該說它是一個
[01:55] 在任何遊戲都非常泛用的一個
[01:58] 一個很好用的概念
[02:02] 好
[02:03] 那今天要講的第一個呢
[02:06] 第一個呢 它是一個
[02:08] 這是我在13年前
[02:11] 2013年的FB貼文
[02:13] 那時候就是
[02:15] 我去麥當勞買這個
[02:17] 填心卡的東西
[02:19] 那填心卡它的規則是
[02:21] 你可以買A區的任何一個東西
[02:23] 然後-A區的價錢
[02:25] 免費送B區的產品
[02:27] 那我就點了一杯冰咖啡
[02:30] 然後送雪碧
[02:32] 店員要按的時候
[02:33] 欸等一下 我改變主意
[02:35] 我要冰咖啡送雪碧
[02:36] 我要雪碧送冰咖啡
[02:39] 店員嚇一跳
[02:40] 什麼意思
[02:41] 這不是一樣嗎
[02:42] 當然不一樣
[02:44] 因為
[02:45] 這個冰咖啡是45元
[02:47] 所以你是買冰咖啡送雪碧
[02:50] 你是要付45元
[02:51] 但如果你是買雪碧送冰咖啡的話
[02:54] 你是付38元
[02:56] 就是你最後拿到的東西是一樣的
[02:59] 但是你付的價錢是不一樣的
[03:02] 那這個呢就是首歌分析
[03:05] 首歌分析是一個為其用語
[03:08] 就是他的意思是說當你需要比較各種不同的選擇
[03:14] 然後你要排順序他們的好壞的時候
[03:17] 你可以使用首歌分析來簡化問題
[03:21] 你可以把一樣的部分給剔除掉
[03:24] 只比較這些選項裡面有哪些地方不一樣
[03:27] 那例如說在這個故事裡面他的首歌分析就是
[03:31] 他最后都是一样拿到一杯冰咖啡跟一个杯雪碧
[03:36] 但是呢
[03:37] 他不一样的地方是他要多付18%的价钱
[03:41] 那所以在首个分析里面
[03:43] 你就可以知道
[03:44] 买雪碧送咖啡会比买咖啡送雪碧更好
[03:50] 那至少你可以确定
[03:52] 买咖啡送雪碧一定是一个不好的答案
[03:56] 至少你就不会选到这个选项
[03:58] 那首歌分析很適合使用在有很多個不同的選擇
[04:04] 或說至少有兩個以上的選擇
[04:07] 而且這些選擇呢
[04:09] 他們的評價評估方式非常的混沌
[04:13] 會暗不明
[04:14] 就是你很難直接量化的去評估它
[04:17] 那至少你可以刪掉一定不好的選項
[04:22] 就是至少你不會選到完全被壓制支配的選項
[04:27] 好那我们后面会讲什么是压制支配
[04:31] 好那在股市当中
[04:35] 就是这个就不一定是一个差七块钱的事情
[04:40] 它可以是一个差七十块七千块七百万的事情
[04:44] 就是因为在股市里面你可以看你的本金有多大
[04:48] 你就可以放大这个差距
[04:49] 那而且呢它是在其他的维度都完全相同
[04:54] 例如说它的风险啊成本啊
[04:56] 最后拿到的东西的品质完全相同
[04:59] 但是你可能差一个选择
[05:01] 你就差了7万块或是70万
[05:04] 那这个就是为什么我们要在
[05:07] 这个就是股票期货
[05:09] 毕竟它还是一个数学游戏
[05:11] 如果你没有用内线交易
[05:13] 或其他作弊的方式的话
[05:15] 它就是一个纯数学游戏
[05:17] 那你还是需要尽量在这游戏过程中
[05:20] 一直选到比较好的选项
[05:22] 你最后会比较有可能
[05:24] 绩效是比较好的
[05:27] 所以也不一定要到一個決定差到18%
[05:32] 也可能是有很多個決定你每次都差個一趴
[05:38] 你在一年的過程當中可能做了50次100次
[05:42] 很不錯的微小決定的差異
[05:44] 累加起來你一整年的差距
[05:48] 就是在你的微操當中就是差距很大
[05:52] 好 那首歌分析呢
[05:54] 我們同時還要學到另外兩個詞
[05:57] 是帕雷托支配
[05:59] Parito Dominance
[06:00] 然後還有這個完全裂解
[06:03] 那帕雷托支配指的就是
[06:06] 如果對於A選項來說
[06:09] 有另外一個B選項
[06:11] 然後這個B選項
[06:12] 它在所有的維度都沒有比A差
[06:16] 然後至少有一個維度比A更好
[06:19] 那A就被B完全dominated
[06:22] 那大部分經濟學課本都是翻譯為支配
[06:27] 但也不一定,因為其實這個
[06:30] Game Theory 就是博弈論的翻譯的比較少
[06:33] 所以也可能是翻譯為
[06:35] 這個帕萊托優勢
[06:37] 或者是這個壓制
[06:39] 那我們這邊是翻譯成
[06:41] 帕萊托dominance 就是帕萊托支配
[06:44] A 是被B支配
[06:45] 那就是dominated 的意思
[06:48] 然後呢,這個我們就把
[06:51] 被壓制、被支配的那個解
[06:54] 稱為完全裂解
[06:57] 那這個是我這個翻譯者的名字嘛
[07:00] 就是因為如果把它翻譯成什麼一個愚蠢的選擇
[07:05] 可能有些人聽了會覺得這個很難過之類的
[07:08] 所以就是用完全裂解
[07:10] 那裂解還有一點這個諧音的這個就是比較好記的感覺
[07:15] 反正我們在接下來這場演講
[07:18] 對於被支配的選項就是完全裂解
[07:21] 那我們學習首歌分析很重要的就是
[07:26] 至少你盡量不要選到完全裂解
[07:29] 那或者是如果你選到完全裂解
[07:32] 你可以很快的在首個分析當中
[07:35] 覆盤檢討
[07:36] 直到你自己選到了完全裂解
[07:38] 以後不要再選到類似情況的完全裂解
[07:43] 好
[07:44] 這個應該都還在完全聽得懂的範圍
[07:48] 簡單來說就是
[07:49] 如果有A、B兩個方案
[07:51] 你要比較他們的好壞
[07:52] 然後有一個方案跟另一個方案比起來
[07:55] 它只增加了優點
[07:57] 然後減少了缺點
[07:59] 或者是完全不變
[08:01] 那這樣的話
[08:02] 其中一個方案就壓制了另外一個方案
[08:05] 例如說剛剛那個雪碧的例子就是這樣
[08:08] 就是他們最後拿到的
[08:11] 他們在咖啡這個維度是一樣的嘛
[08:14] 雪碧這個維度是一樣
[08:15] 但在價錢這個維度上
[08:17] 一個是完全壓制另外一個
[08:24] 好 那我們還是清理一下戰場
[08:26] 就是說我們的這個目標是達到最好的遊戲結果的話
[08:33] 那我們就盡量不要選到被這個完全支配的方案
[08:38] 那實際上大家相信在這邊有很多人都是有打遊戲的嘛
[08:42] 就是我們打遊戲的目標不一定是就是達到最好的結果嘛
[08:48] 有時候你也會BM對手
[08:50] 你就把自己的主堡炸掉
[08:52] 故意選一個很爛的選擇
[08:54] 或是故意玩一手很爛的牌
[08:56] 那你有可能這是一個嘲諷性質、炫耀性質
[08:59] 那不是為了達到最好的情況
[09:03] 達到最好的結果
