[00:00] 朋友们,今年2月份,美国那个最高法院不是判特朗普的关税政策违法了吗?
[00:05] 那他去年轰轰烈烈发起的全球关税战,都摆整了吗?
[00:09] 辛苦折腾一年收上来的关税,难道都得退回去吗?
[00:13] 咱好久没聊美国关税了,但这个毕竟是一个搅动全球贸易格局的大事,所以咱今天来跟进。
[00:20] 看看这么折腾一通之后,美国现在和各国之间的关税到底是个什么情况?
[00:25] 谁是最大的受益人,谁又吃了最大的亏?
[00:32] 咱先来简单捋一下这个事
[00:34] 去年特朗普重磅发布了
[00:37] 那个解放日关税
[00:38] 对全球所有国家都争
[00:39] 多的有百分之几十
[00:41] 全球挨个搅了一遍
[00:42] 美国大部分涉及到进口的企业
[00:45] 都受到了不小的直接冲击
[00:47] 比如苹果前前后后
[00:48] 交了超过32亿美元
[00:49] 耐克大概10亿
[00:51] 很多企业也都被迫涨价
[00:52] 但是吧
[00:53] 这些进口企业虽然是怨声载道
[00:55] 大企业一般是敢怒不敢言的
[00:57] 那谁敢真跟美国政府
[00:58] 跟特朗普硬刚啊
[01:00] 你给他惹毛了
[01:00] 鬼知道他能搞出什么新招来对付你
[01:02] 我可以两边夸张
[01:03] 当时亚马逊就只是说
[01:05] 考虑在商品页面标明关税成本
[01:08] 莱坤发言人当天就定性了
[01:09] 说这是敌意的政治行为
[01:11] 特朗普直接一个电话打给贝索斯
[01:13] 吓得亚马逊几个小时之后就光速澄清说
[01:16] 咱不搞了不搞了
[01:17] 后来特朗普还专门夸了一句
[01:19] 说贝索斯人很好
[01:20] 问题解决的很快
[01:21] 你瞅瞅
[01:22] 这大企业之后就集体失声了
[01:24] 但是有两家小公司
[01:26] 一个卖酒的
[01:27] 一个卖玩具的就不干了
[01:28] 直接上诉
[01:29] 25年4月
[01:32] 把美国政府告上了法庭
[01:33] 第一被告就是特朗普本人
[01:35] 再加上一串联邦部门和官员
[01:37] 什么国土安全部台
[01:39] 国安商务部财政部等等
[01:41] 一长串全告了
[01:42] 这官司一路打到最高法院
[01:45] 26年2月20号
[01:46] 美国最高法院
[01:47] 9个大法官投票
[01:48] 最终6比3
[01:49] 政府败诉
[01:51] 为什么法院会判政府败诉呢
[01:53] 我觉得主要原因有这么两个
[01:55] 首先最核心的
[01:57] 宪法里头写得很清楚
