訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核,tech_score,news_score,report_score,confidence,signal_type
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,2603.TW,250.5,-0.4,248.5,0.8,1.16,1.5,突破當日！立即關注+籌碼質變,2026-08-24,✅,94.8,68.8,50.0,73.6,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,2606.TW,72.3,-0.41,72.1,0.3,0.99,2.8,突破當日！立即關注+籌碼質變,2026-08-24,✅,89.7,68.8,50.0,71.5,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,3152.TWO,252.0,-1.75,249.0,1.2,1.26,4.1,突破當日！立即關注,2026-08-24,✅,97.8,50.0,50.0,69.1,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,4735.TWO,37.8,-4.19,37.0,1.9,1.22,1.7,突破當日！立即關注,2026-08-24,✅,96.6,50.0,50.0,68.6,做多 ⭐⭐
BUY★★,主題基本面輪動,7711.TW,497.5,7.8,458.5,7.8,1.33,2.0,主題突破當日！,2026-08-24,✅,95.7,50.0,50.0,68.3,做多 ⭐⭐
BUY★★,主題基本面輪動,2851.TW,42.8,-9.02,42.5,0.7,1.19,2.8,主題突破當日！,2026-08-24,✅,95.7,50.0,50.0,68.3,做多 ⭐⭐
BUY★,主題基本面輪動,3362.TWO,188.5,-3.08,182.5,3.2,1.71,1.4,主題早期確認,2026-08-24,✅,95.0,50.0,50.0,68.0,做多 ⭐⭐
BUY★★,主題基本面輪動,1434.TW,17.8,-1.93,17.5,1.1,1.16,1.8,主題突破當日！,2026-08-24,✅,94.8,50.0,50.0,67.9,做多 ⭐⭐
BUY★★,主題基本面輪動,1402.TW,29.5,-2.97,29.0,1.4,1.16,1.4,主題突破當日！,2026-08-24,✅,94.8,50.0,50.0,67.9,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6716.TWO,122.5,-7.89,120.5,1.6,1.16,1.6,突破當日！立即關注,2026-08-24,✅,94.8,50.0,50.0,67.9,做多 ⭐⭐
BUY★★,主題基本面輪動,2248.TW,63.5,-5.08,61.9,2.5,1.13,3.0,主題突破當日！,2026-08-24,✅,93.9,50.0,50.0,67.6,做多 ⭐⭐
BUY★,主題基本面輪動,2603.TW,250.5,-0.4,246.0,1.8,1.16,1.5,主題早期確認,2026-08-24,✅,79.8,68.8,50.0,67.6,做多 ⭐⭐
BUY★★,主題基本面輪動,8442.TW,49.5,5.55,46.1,6.8,1.21,3.2,主題突破當日！,2026-08-24,✅,93.6,50.0,50.0,67.4,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,6182.TWO,110.0,3.77,108.5,1.4,1.1,2.2,突破當日！立即關注,2026-08-24,✅,93.0,50.0,50.0,67.2,做多 ⭐⭐
BUY★★,主題基本面輪動,2607.TW,52.3,-0.19,52.2,0.2,1.08,1.5,主題突破當日！,2026-08-24,✅,92.4,50.0,50.0,67.0,做多 ⭐⭐
BUY★★,主題基本面輪動,2852.TW,29.2,0.0,29.0,0.9,1.06,1.5,主題突破當日！,2026-08-24,✅,91.8,50.0,50.0,66.7,做多 ⭐⭐
BUY★★,主題基本面輪動,2107.TW,26.6,-0.37,26.4,1.1,1.05,1.3,主題突破當日！,2026-08-24,✅,91.5,50.0,50.0,66.6,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,5534.TW,80.2,-0.25,79.8,0.5,1.05,3.4,突破當日！立即關注+籌碼質變,2026-08-24,✅,91.5,50.0,50.0,66.6,做多 ⭐⭐
BUY★★,主題基本面輪動,1470.TW,23.8,0.42,23.2,2.3,1.05,1.8,主題突破當日！,2026-08-24,✅,91.5,50.0,50.0,66.6,做多 ⭐⭐
BUY★★,主題基本面輪動,1101.TW,24.7,-0.6,24.6,0.2,1.02,1.6,主題突破當日！,2026-08-24,✅,90.6,50.0,50.0,66.2,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,5276.TWO,19.5,-2.26,18.5,5.4,1.01,4.4,突破當日！立即關注,2026-08-24,✅,89.7,50.0,50.0,65.9,做多 ⭐⭐
BUY★,主題基本面輪動,2634.TW,68.6,-1.01,69.0,0.6,1.46,0.5,主題早期確認,2026-08-24,✅,88.8,50.0,50.0,65.5,做多 ⭐⭐
BUY★★,A+B+C 籌碼趨勢（M哥完整版）,7751.TWO,1665.0,-3.76,1620.0,2.7,0.94,3.0,突破當日！立即關注,2026-08-24,✅,88.2,50.0,50.0,65.3,做多 ⭐⭐
BUY★★,主題基本面輪動,3006.TW,282.0,9.94,252.5,10.5,1.13,1.6,主題突破當日！,2026-08-24,✅,85.6,50.0,50.0,64.3,觀察 ⭐
