訊號等級,策略,代碼,收盤,停損,風險%,RS相對強度,量比(vs均),狀態,日期
BUY,波段回檔再進場（第二買點）,4807.TW,42.8,36.3,15.1,2.34,2.5,波段回檔再進場（第二買點）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,2243.TW,53.0,52.9,0.3,1.88,0.7,多頭｜停利 52.9,2026-07-16
BUY,吊燈出場（Chandelier Exit）,3577.TWO,138.5,120.7,12.9,1.4,1.4,多頭｜停利 120.7,2026-07-16
BUY,波段回檔再進場（第二買點）,3577.TWO,138.5,120.0,13.3,1.4,1.4,波段回檔再進場（第二買點）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,8028.TW,350.0,282.1,19.4,1.38,2.4,多頭｜停利 282.1,2026-07-16
BUY,波段回檔再進場（第二買點）,6175.TWO,110.0,97.0,11.8,1.37,1.8,波段回檔再進場（第二買點）,2026-07-16
BUY,波段回檔再進場（第二買點）,3094.TW,41.0,35.0,14.5,1.3,2.2,波段回檔再進場（第二買點）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,4939.TWO,66.8,57.8,13.5,1.2,4.7,多頭｜停利 57.8,2026-07-16
BUY,波段回檔再進場（第二買點）,4939.TWO,66.8,53.2,20.4,1.2,4.7,波段回檔再進場（第二買點）,2026-07-16
BUY,波段回檔再進場（第二買點）,6770.TW,76.5,68.9,9.9,1.17,1.9,波段回檔再進場（第二買點）,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,9914.TW,84.2,70.8,15.9,1.13,5.5,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,波段回檔再進場（第二買點）,7828.TWO,2160.0,1835.0,15.0,1.1,2.2,波段回檔再進場（第二買點）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,1710.TW,17.5,15.3,12.7,1.06,1.3,多頭｜停利 15.3,2026-07-16
BUY,波段回檔再進場（第二買點）,1710.TW,17.5,15.1,13.7,1.06,1.3,波段回檔再進場（第二買點）,2026-07-16
BUY,Stage 2 突破（變盤三部曲）,9921.TW,88.0,83.0,5.6,1.03,1.8,stage2,2026-07-16
BUY,波段回檔再進場（第二買點）,2915.TW,52.8,50.3,4.7,0.97,1.6,波段回檔再進場（第二買點）,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,5306.TW,99.2,84.5,14.8,0.96,8.9,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,波段回檔再進場（第二買點）,6517.TWO,71.0,64.6,9.0,0.96,1.1,波段回檔再進場（第二買點）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,6811.TWO,228.5,212.0,7.2,0.96,1.3,多頭｜停利 212.0,2026-07-16
BUY,波段回檔再進場（第二買點）,6811.TWO,228.5,215.8,5.6,0.96,1.3,波段回檔再進場（第二買點）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,2008.TW,31.0,29.5,4.8,0.94,1.0,多頭｜停利 29.5,2026-07-16
BUY,吊燈出場（Chandelier Exit）,2364.TW,70.8,65.6,7.3,0.92,0.8,多頭｜停利 65.6,2026-07-16
BUY,波段回檔再進場（第二買點）,5450.TWO,15.5,13.9,10.6,0.92,4.2,波段回檔再進場（第二買點）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,1517.TW,12.1,10.9,9.9,0.91,7.4,多頭｜停利 10.9,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,1517.TW,12.1,10.4,13.9,0.91,7.4,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,1532.TW,23.5,22.9,2.8,0.9,1.1,多頭｜停利 22.9,2026-07-16
BUY,波段回檔再進場（第二買點）,1532.TW,23.5,22.5,4.7,0.9,1.1,波段回檔再進場（第二買點）,2026-07-16
BUY,波段回檔再進場（第二買點）,2834.TW,18.1,17.3,4.7,0.9,1.3,波段回檔再進場（第二買點）,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,1232.TW,162.0,146.6,9.5,0.89,3.5,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,2537.TW,11.3,11.2,1.1,0.89,0.7,多頭｜停利 11.2,2026-07-16
BUY,吊燈出場（Chandelier Exit）,3029.TW,104.5,96.6,7.6,0.89,1.1,多頭｜停利 96.6,2026-07-16
BUY,吊燈出場（Chandelier Exit）,9941.TW,84.2,80.1,4.9,0.89,1.7,多頭｜停利 80.1,2026-07-16
BUY,波段回檔再進場（第二買點）,9941.TW,84.2,80.0,5.0,0.89,1.7,波段回檔再進場（第二買點）,2026-07-16
BUY,波段回檔再進場（第二買點）,1268.TWO,170.0,165.0,2.9,0.89,2.4,波段回檔再進場（第二買點）,2026-07-16
BUY,Stage 2 突破（變盤三部曲）,1268.TWO,170.0,165.9,2.4,0.89,2.4,stage2,2026-07-16
BUY,波段回檔再進場（第二買點）,1781.TWO,12.1,11.6,4.1,0.89,1.6,波段回檔再進場（第二買點）,2026-07-16
BUY,波段回檔再進場（第二買點）,5278.TWO,24.8,23.8,3.8,0.89,1.1,波段回檔再進場（第二買點）,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,9942.TW,125.5,118.6,5.5,0.88,4.0,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,波段回檔再進場（第二買點）,2836.TW,12.7,12.1,4.3,0.87,4.3,波段回檔再進場（第二買點）,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,2836.TW,12.7,12.1,4.3,0.87,4.3,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,5534.TW,81.7,81.9,0.3,0.87,1.0,多頭｜停利 81.9,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,8481.TW,44.3,41.3,6.8,0.87,4.6,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,1231.TW,91.9,87.1,5.3,0.85,2.9,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,1539.TW,17.0,15.8,6.6,0.85,7.6,多頭｜停利 15.8,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,1539.TW,17.0,15.9,6.3,0.85,7.6,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,波段回檔再進場（第二買點）,2646.TW,21.5,20.8,3.5,0.85,1.0,波段回檔再進場（第二買點）,2026-07-16
BUY,波段回檔再進場（第二買點）,6212.TWO,29.5,28.4,3.9,0.85,2.0,波段回檔再進場（第二買點）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,6662.TWO,30.5,29.4,3.8,0.85,4.2,多頭｜停利 29.4,2026-07-16
BUY,波段回檔再進場（第二買點）,3056.TW,14.8,14.3,3.4,0.84,1.3,波段回檔再進場（第二買點）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,1598.TW,20.3,19.7,3.0,0.83,1.8,多頭｜停利 19.7,2026-07-16
BUY,Stage 2 突破（變盤三部曲）,3705.TW,55.5,54.4,2.0,0.83,1.6,stage2,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,9927.TW,70.4,68.7,2.5,0.83,3.0,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,5522.TW,69.4,71.7,3.3,0.82,0.5,多頭｜停利 71.7,2026-07-16
BUY,吊燈出場（Chandelier Exit）,4535.TWO,28.0,27.2,2.8,0.82,0.2,多頭｜停利 27.2,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,6680.TWO,57.6,53.5,7.2,0.82,6.0,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,1439.TW,26.5,24.2,8.3,0.81,4.0,多頭｜停利 24.2,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,1439.TW,26.5,25.3,4.2,0.81,4.0,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,2459.TW,67.2,64.5,4.0,0.81,5.7,多頭｜停利 64.5,2026-07-16
BUY,Stage 2 突破（變盤三部曲）,2459.TW,67.2,65.9,2.0,0.81,5.7,stage2,2026-07-16
BUY,量縮整理→出量突破（融資沒走）,2459.TW,67.2,65.7,2.2,0.81,5.7,量縮整理後真出量突破（融資沒走）,2026-07-16
BUY,吊燈出場（Chandelier Exit）,2941.TWO,34.0,34.7,2.1,0.81,1.4,多頭｜停利 34.7,2026-07-16
BUY,吊燈出場（Chandelier Exit）,3178.TWO,70.7,63.3,10.4,0.81,5.6,多頭｜停利 63.3,2026-07-16
BUY,吊燈出場（Chandelier Exit）,5212.TWO,47.9,46.8,2.2,0.81,0.2,多頭｜停利 46.8,2026-07-15
