訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期
BUY,主題基本面輪動,3532.TW,466.0,9.91,424.0,9.0,2.41,2.3,"主題突破（RS:Date
2015-01",2026-07-20
BUY,大跌中融資逆勢買,5328.TWO,54.9,-8.96,54.3,1.1,2.02,0.4,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,3441.TWO,63.7,-6.32,63.3,0.6,1.69,2.3,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,3149.TW,76.2,-4.27,73.8,3.1,1.61,0.5,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,8043.TWO,135.5,-3.9,128.0,5.5,1.41,0.5,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,3317.TWO,77.8,-7.71,77.0,1.0,1.34,0.4,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,8046.TW,1105.0,-3.91,1090.0,1.4,1.23,0.9,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,8028.TW,300.0,-4.76,293.5,2.2,1.21,1.3,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,2441.TW,119.0,-5.93,114.0,4.2,1.19,0.9,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,6901.TW,17.7,-3.54,17.6,0.3,1.15,0.5,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,3296.TW,24.7,-3.52,24.5,0.8,1.1,0.8,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,2359.TW,134.5,-4.61,128.5,4.5,1.09,1.1,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,2221.TWO,50.4,-4.18,49.1,2.6,1.08,1.2,大跌中融資逆勢加碼,2026-07-20
BUY,吊燈出場（Chandelier Exit）,3576.TW,18.5,3.36,17.0,8.0,1.05,2.4,多頭｜停利 17.0,2026-07-20
BUY,大跌中融資逆勢買,6274.TWO,1125.0,-3.85,1060.0,5.8,1.05,1.6,大跌中融資逆勢加碼,2026-07-20
BUY,吊燈出場（Chandelier Exit）,2910.TW,25.8,9.81,23.2,10.0,1.03,0.8,多頭｜停利 23.2,2026-07-20
BUY,大跌中融資逆勢買,6672.TW,221.5,-8.09,217.0,2.0,1.03,0.7,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,1710.TW,15.4,-5.79,15.3,1.0,1.01,0.5,大跌中融資逆勢加碼,2026-07-20
BUY,吊燈出場（Chandelier Exit）,9939.TW,128.5,2.39,124.5,3.1,1.0,1.3,多頭｜停利 124.5,2026-07-20
BUY,吊燈出場（Chandelier Exit）,1268.TWO,173.0,2.06,164.3,5.0,0.98,2.6,多頭｜停利 164.3,2026-07-20
BUY,大跌中融資逆勢買,3303.TWO,51.7,-3.9,50.7,1.9,0.98,1.0,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,1314.TW,8.3,-4.17,8.3,0.1,0.97,0.5,大跌中融資逆勢加碼,2026-07-20
BUY,大跌中融資逆勢買,8421.TWO,14.2,-6.86,13.9,2.1,0.94,1.0,大跌中融資逆勢加碼,2026-07-20
