訊號等級,策略,代碼,收盤,當日%,停損,風險%,RS相對強度,量比(vs均),狀態,日期,檢核
BUY,吊燈出場（Chandelier Exit）,6538.TWO,148.5,10.0,118.9,19.9,1.83,1.5,多頭｜停利 118.9,2026-08-04,✅
BUY,大跌後外資買進（隔日跟單）,2434.TW,54.7,9.95,45.3,17.3,1.69,1.1,大跌後外資買進（隔日跟單）,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2059.TW,9495.0,9.96,7558.9,20.4,1.66,1.5,多頭｜停利 7558.9,2026-08-04,✅
BUY,主題基本面輪動,2425.TW,50.2,3.93,46.4,7.6,1.47,3.2,"主題突破（RS:Date
2015-01",2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3189.TW,767.0,9.89,639.9,16.6,1.47,0.6,多頭｜停利 639.9,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,8039.TW,200.0,4.99,195.9,2.1,1.42,1.1,多頭｜停利 195.9,2026-08-04,✅
BUY,大跌後外資買進（隔日跟單）,6243.TW,50.5,4.99,42.5,15.8,1.41,0.7,大跌後外資買進（隔日跟單）,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3152.TWO,242.0,6.37,250.3,3.4,1.33,0.9,多頭｜停利 250.3,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2464.TW,162.0,9.83,139.1,14.2,1.3,2.3,多頭｜停利 139.1,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3516.TWO,27.0,6.51,25.2,6.8,1.23,1.5,多頭｜停利 25.2,2026-08-04,✅
BUY,大跌後外資買進（隔日跟單）,6505.TW,68.2,0.74,57.7,15.5,1.22,0.3,大跌後外資買進（隔日跟單）,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3141.TWO,71.8,1.84,70.4,1.9,1.21,1.1,多頭｜停利 70.4,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3048.TW,55.8,9.84,53.6,3.9,1.2,5.5,多頭｜停利 53.6,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3504.TW,78.2,3.85,65.3,16.5,1.2,3.3,多頭｜停利 65.3,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6570.TWO,54.7,1.86,45.6,16.7,1.2,1.4,多頭｜停利 45.6,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3484.TWO,51.2,9.17,47.8,6.7,1.13,4.9,多頭｜停利 47.8,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3609.TWO,26.2,1.55,24.0,8.2,1.11,1.2,多頭｜停利 24.0,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,6239.TW,256.5,7.55,222.4,13.3,1.1,1.2,stage2,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,5324.TWO,12.2,1.24,11.9,2.5,1.1,1.4,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,8077.TWO,45.8,3.04,46.2,0.9,1.1,0.6,多頭｜停利 46.2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3605.TW,92.6,9.98,76.5,17.4,1.08,0.9,多頭｜停利 76.5,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3213.TWO,129.0,3.2,119.6,7.3,1.07,0.9,多頭｜停利 119.6,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6811.TWO,236.0,6.79,210.2,10.9,1.07,1.0,多頭｜停利 210.2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,5351.TWO,87.8,9.89,83.4,5.0,1.06,0.6,多頭｜停利 83.4,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3312.TW,48.6,9.95,51.3,5.6,1.05,1.7,多頭｜停利 51.3,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,3312.TW,48.6,9.95,44.3,8.9,1.05,1.7,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,4953.TWO,129.0,3.61,116.8,9.5,1.05,2.4,多頭｜停利 116.8,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,5299.TWO,107.5,5.91,117.8,9.6,1.05,1.4,多頭｜停利 117.8,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6265.TWO,49.3,9.92,43.5,11.8,1.05,1.5,多頭｜停利 43.5,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,6265.TWO,49.3,9.92,43.8,11.1,1.05,1.5,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3037.TW,924.0,6.82,746.6,19.2,1.03,2.1,多頭｜停利 746.6,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3287.TWO,29.9,4.55,30.4,1.7,1.03,0.8,多頭｜停利 30.4,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2383.TW,5140.0,3.21,4913.2,4.4,1.02,1.3,多頭｜停利 4913.2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2461.TW,16.9,4.01,16.4,2.5,1.02,1.5,多頭｜停利 16.4,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,4938.TW,88.4,2.08,78.7,11.0,1.02,1.3,多頭｜停利 78.7,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3067.TWO,18.5,3.34,18.8,1.4,1.02,0.2,多頭｜停利 18.8,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,5487.TWO,29.5,0.51,26.9,9.0,1.02,1.1,多頭｜停利 26.9,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6512.TWO,20.4,3.29,19.7,3.3,1.02,0.7,多頭｜停利 19.7,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2033.TW,15.8,1.61,15.3,2.7,1.01,0.8,多頭｜停利 15.3,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2388.TW,80.3,5.8,63.8,20.5,1.01,1.2,多頭｜停利 63.8,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6904.TWO,121.5,2.53,121.3,0.2,1.01,0.9,多頭｜停利 121.3,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,7704.TWO,60.9,9.93,54.9,9.8,1.01,1.5,多頭｜停利 54.9,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,8114.TW,224.0,4.19,186.1,16.9,0.99,1.3,多頭｜停利 186.1,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3017.TW,2600.0,1.96,2235.0,14.0,0.98,1.5,多頭｜停利 2235.0,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,3017.TW,2600.0,1.96,2330.5,10.4,0.98,1.5,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,5703.TWO,14.2,1.43,13.6,4.3,0.98,2.3,多頭｜停利 13.6,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6997.TWO,76.6,6.39,72.3,5.7,0.98,2.8,多頭｜停利 72.3,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,8905.TWO,33.4,3.57,31.9,4.6,0.98,3.4,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,5511.TWO,70.0,0.29,67.9,3.0,0.97,0.4,多頭｜停利 67.9,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,5529.TWO,21.2,0.47,20.5,3.3,0.97,1.2,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6894.TWO,343.0,3.31,321.4,6.3,0.97,0.9,多頭｜停利 321.4,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3557.TW,27.2,9.88,24.1,11.7,0.96,1.8,多頭｜停利 24.1,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,6922.TWO,178.0,1.42,162.5,8.7,0.96,1.1,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,7708.TWO,92.3,2.56,91.3,1.1,0.96,1.6,多頭｜停利 91.3,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2455.TW,353.0,9.97,278.4,21.1,0.95,0.8,多頭｜停利 278.4,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,4702.TWO,9.7,2.11,9.4,3.0,0.95,0.6,多頭｜停利 9.4,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3006.TW,217.5,9.85,188.3,13.4,0.94,1.7,多頭｜停利 188.3,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,8131.TW,66.0,10.0,57.6,12.7,0.94,1.1,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,7716.TWO,24.6,2.5,24.2,1.4,0.94,1.0,多頭｜停利 24.2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2035.TWO,27.1,3.63,27.0,0.4,0.93,1.6,多頭｜停利 27.0,2026-08-03,✅
BUY,Stage 2 突破（變盤三部曲）,2062.TW,19.2,2.12,18.6,3.4,0.92,1.4,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,4912.TW,88.9,2.66,79.7,10.3,0.91,1.3,多頭｜停利 79.7,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3064.TWO,19.6,8.89,19.1,2.4,0.91,1.1,多頭｜停利 19.1,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6112.TW,41.5,5.32,40.7,2.0,0.9,1.5,多頭｜停利 40.7,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,6112.TW,41.5,5.32,39.5,5.0,0.9,1.5,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2643.TWO,62.4,3.48,57.8,7.3,0.9,1.1,多頭｜停利 57.8,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3712.TW,18.8,3.02,16.5,11.9,0.89,0.3,多頭｜停利 16.5,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2235.TWO,28.0,3.14,28.6,2.2,0.89,1.8,多頭｜停利 28.6,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,4743.TWO,47.5,4.4,53.6,13.0,0.89,0.9,多頭｜停利 53.6,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,4967.TW,256.5,6.88,220.0,14.2,0.87,2.9,多頭｜停利 220.0,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2399.TW,39.8,9.48,46.8,17.5,0.86,2.5,多頭｜停利 46.8,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3227.TWO,205.5,4.31,196.7,4.3,0.86,0.7,多頭｜停利 196.7,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,8110.TW,43.5,6.5,43.7,0.5,0.83,3.0,多頭｜停利 43.7,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2340.TW,31.7,7.82,32.2,1.7,0.82,1.1,多頭｜停利 32.2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6624.TWO,41.4,7.67,43.0,4.0,0.82,2.6,多頭｜停利 43.0,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,6624.TWO,41.4,7.67,39.9,3.6,0.82,2.6,stage2,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,4526.TW,29.8,5.87,27.1,8.9,0.81,1.3,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,1796.TWO,31.5,5.17,34.0,7.7,0.81,0.1,多頭｜停利 34.0,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6751.TWO,41.5,2.72,42.5,2.5,0.81,0.5,多頭｜停利 42.5,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,6492.TWO,41.1,5.52,38.9,5.4,0.79,1.7,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3036.TW,212.5,3.91,192.9,9.2,0.77,1.3,多頭｜停利 192.9,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6805.TW,1590.0,8.16,1315.0,17.3,0.77,1.7,多頭｜停利 1315.0,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3664.TWO,6.8,10.23,6.9,1.2,0.76,1.1,多頭｜停利 6.9,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6671.TW,23.2,0.87,23.2,0.4,0.75,0.8,多頭｜停利 23.2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,2230.TWO,24.2,4.3,22.1,8.9,0.75,1.2,多頭｜停利 22.1,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,7751.TWO,1365.0,9.64,1175.0,13.9,0.75,1.1,多頭｜停利 1175.0,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6727.TWO,370.0,9.96,452.3,22.2,0.72,0.3,多頭｜停利 452.3,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,6955.TW,117.0,2.63,114.5,2.1,0.71,2.5,多頭｜停利 114.5,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,1815.TWO,80.1,9.88,82.7,3.2,0.7,1.5,多頭｜停利 82.7,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,4540.TW,50.0,2.04,44.8,10.4,0.69,1.2,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3587.TWO,251.5,9.83,256.3,1.9,0.69,0.2,多頭｜停利 256.3,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,4989.TW,67.2,9.98,94.1,40.1,0.68,1.3,多頭｜停利 94.1,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,3081.TWO,1965.0,9.78,1595.4,18.8,0.68,0.1,多頭｜停利 1595.4,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,1785.TWO,111.0,4.23,131.7,18.6,0.67,1.0,多頭｜停利 131.7,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,3363.TWO,563.0,7.24,489.7,13.0,0.64,1.2,stage2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,4979.TWO,447.5,9.95,362.3,19.0,0.64,0.3,多頭｜停利 362.3,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,1595.TWO,60.5,10.0,65.2,7.7,0.62,0.4,多頭｜停利 65.2,2026-08-04,✅
BUY,吊燈出場（Chandelier Exit）,5340.TWO,70.6,9.97,74.3,5.3,0.61,1.6,多頭｜停利 74.3,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,3701.TW,39.1,7.86,35.5,9.1,0.6,1.1,stage2,2026-08-04,✅
BUY,Stage 2 突破（變盤三部曲）,5439.TWO,224.0,4.67,198.1,11.6,0.55,1.2,stage2,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,3231.TW,195.0,4.84,0.0,0.0,1.35,1.8,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,1907.TW,29.5,1.2,0.0,0.0,1.18,1.1,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,2006.TW,82.5,2.61,0.0,0.0,1.17,1.7,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,1515.TW,28.1,-4.75,0.0,0.0,1.12,0.3,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,2352.TW,28.9,1.58,0.0,0.0,1.08,0.3,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,5306.TW,89.7,-0.22,0.0,0.0,1.07,0.3,均線轉下出場,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,1909.TW,10.1,0.5,0.0,0.0,1.05,1.0,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,2359.TW,132.0,-0.38,0.0,0.0,1.04,0.7,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,2537.TW,10.9,-1.36,0.0,0.0,1.02,0.8,均線轉下出場,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,4306.TW,14.1,-0.71,0.0,0.0,1.01,0.5,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,8411.TW,12.8,-1.92,0.0,0.0,1.01,1.5,均線轉下出場,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,1530.TW,27.5,-0.54,0.0,0.0,1.0,0.4,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,2206.TW,60.1,-6.09,0.0,0.0,1.0,1.4,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,1465.TW,12.5,-0.79,0.0,0.0,0.99,0.6,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,3296.TW,23.1,1.99,0.0,0.0,0.99,0.4,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,1521.TW,25.1,-1.18,0.0,0.0,0.94,0.8,均線轉下出場,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,2420.TW,54.3,-0.18,0.0,0.0,0.93,0.9,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,3014.TW,128.0,1.19,0.0,0.0,0.89,0.4,A+B1成立，等量縮平台,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,2702.TW,12.5,-0.79,0.0,0.0,0.87,0.6,均線轉下出場,2026-08-04,✅
SETUP,A+B+C 籌碼趨勢（M哥完整版）,2417.TW,40.9,2.25,0.0,0.0,0.77,0.7,A+B1成立，等量縮平台,2026-08-04,✅
PRE,A+B+C 籌碼趨勢（M哥完整版）,3018.TW,14.3,-0.35,0.0,0.0,1.29,0.8,均線轉下出場,2026-08-04,✅
PRE,A+B+C 籌碼趨勢（M哥完整版）,9914.TW,76.2,-0.26,0.0,0.0,1.28,0.3,均線轉下出場,2026-08-04,✅
PRE,A+B+C 籌碼趨勢（M哥完整版）,9921.TW,84.0,0.0,0.0,0.0,1.16,0.5,均線轉下出場,2026-08-04,✅
PRE,A+B+C 籌碼趨勢（M哥完整版）,6863.TW,134.0,0.0,0.0,0.0,1.14,0.9,均線轉下出場,2026-08-04,✅
